CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,591,(512 720),29067,0.38051,0.8014,0,-0.03154,-0.06691,0.70917,0.00577,True,0.03631,-0.07501,0.75425,0.00595,True,0.28768,0.48449,198.6557,0.08064,318,True,0.29067,0.55622,True,0.28084,0.479,True,0.28575,0.51761,True,0.38051,0.8014,27.49709,0.97524,True,0.6226,0.81707,27.89334,0.97524,True,198.7363,863340205351
0,591,(512 720),29068,0.38053,0.80139,0,-0.03353,-0.07132,0.75533,0.00573,True,0.03693,-0.07617,0.76591,0.00592,True,0.28744,0.48649,198.6557,0.08708,318,True,0.29067,0.55622,True,0.27803,0.46878,True,0.28435,0.5125,True,0.38053,0.80139,27.69418,0.97524,True,0.62266,0.81703,27.76207,0.98913,True,198.7428,863340269735
0,591,(512 720),29069,0.38061,0.80151,0,-0.03353,-0.07132,0.75533,0.00569,True,0.03693,-0.07617,0.76591,0.00596,True,0.28691,0.48789,198.6557,0.09402,318,True,0.28472,0.54919,True,0.27431,0.46579,True,0.27951,0.50749,True,0.38061,0.80151,27.72041,1.00072,True,0.62267,0.81715,27.80589,1.01461,True,198.7497,863340339108
0,591,(512 720),29070,0.38062,0.80147,0,-0.03353,-0.07132,0.75533,0.00571,True,0.03693,-0.07617,0.76591,0.00592,True,0.2863,0.48786,198.6557,0.10048,318,True,0.27846,0.5216,True,0.27563,0.45316,True,0.27705,0.48738,True,0.38062,0.80147,27.72157,1.0262,True,0.62271,0.81716,27.89775,1.04008,True,198.7562,863340403647
0,591,(512 720),29071,0.38063,0.80145,0,-0.03338,-0.07093,0.75179,0.00572,True,0.03594,-0.07401,0.74418,0.00593,True,0.28548,0.48711,198.6557,0.10742,318,True,0.27151,0.50535,True,0.27338,0.44486,True,0.27244,0.4751,True,0.38063,0.80145,27.69225,1.05168,True,0.62272,0.81714,27.86712,1.05168,True,198.7631,863340473040
0,591,(512 720),29072,0.38067,0.80144,0,-0.03338,-0.07093,0.75179,0.00574,True,0.03594,-0.07401,0.74418,0.00593,True,0.28485,0.48625,198.6557,0.11386,318,True,0.27298,0.507,True,0.27524,0.43608,True,0.27411,0.47154,True,0.38067,0.80144,27.61435,1.05168,True,0.62271,0.81713,27.84276,1.03779,True,198.7695,863340537539
0,591,(512 720),29073,0.3807,0.80147,0,-0.03338,-0.07093,0.75179,0.00573,True,0.03594,-0.07401,0.74418,0.00593,True,0.28457,0.48645,198.6557,0.12061,318,True,0.27607,0.51527,True,0.28308,0.46512,True,0.27958,0.4902,True,0.3807,0.80147,27.69407,1.03779,True,0.62272,0.81718,27.9566,1.0239,True,198.7763,863340604953
0,591,(512 720),29074,0.38067,0.80146,0,-0.03281,-0.06985,0.73914,0.00573,True,0.03594,-0.07401,0.74418,0.00594,True,0.28448,0.48711,198.6557,0.12727,318,True,0.27986,0.52411,True,0.28573,0.47503,True,0.28279,0.49957,True,0.38067,0.80146,27.6107,1.0239,True,0.62273,0.81718,27.9557,1.01001,True,198.783,863340671617
0,591,(512 720),29075,0.38151,0.80143,0,-0.03281,-0.06985,0.73914,0.00576,True,0.03594,-0.07401,0.74418,0.006,True,0.2855,0.48832,198.6557,0.13396,318,True,0.30147,0.53699,True,0.31004,0.48796,True,0.30575,0.51248,True,0.38151,0.80143,27.53808,1.01001,True,0.62375,0.81729,27.90058,1.01001,True,198.7896,863340738480
0,591,(512 720),29076,0.38316,0.80105,0,-0.03281,-0.06985,0.73914,0.00594,True,0.03594,-0.07401,0.74418,0.00615,True,0.28997,0.48763,198.6557,0.14066,318,True,0.37631,0.49514,True,0.39154,0.45134,True,0.38392,0.47324,True,0.38316,0.80105,27.58502,1.01001,True,0.62538,0.817,27.86155,1.01001,True,198.7963,863340805473
0,591,(512 720),29077,0.38396,0.80097,0,-0.03324,-0.07234,0.76674,0.00597,True,0.03661,-0.07378,0.74193,0.00612,True,0.29406,0.48701,198.6557,0.14737,318,True,0.37631,0.49514,True,0.39154,0.45134,True,0.38392,0.47324,True,0.38396,0.80097,27.60874,1.01001,True,0.62601,0.81689,27.99006,1.01001,True,198.8031,863340872638
0,591,(512 720),29078,0.3877,0.80088,0,-0.03324,-0.07234,0.76674,0.00599,True,0.03661,-0.07378,0.74193,0.00597,True,0.30329,0.48534,198.6557,0.15446,318,True,0.52818,0.44774,True,0.5033,0.4463,True,0.51574,0.44702,True,0.3877,0.80088,27.65153,1.01001,True,0.62936,0.81686,27.78352,1.01001,True,198.8102,863340943514
