CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,1156,(512 720),1100951,0.35745,0.85473,0,-0.03356,-0.07152,0.64385,0.00538,True,0.03285,-0.07747,0.66987,0.00501,True,0.21711,0.50535,7380.77,0.29492,13548,True,0.24986,0.56844,True,0.2047,0.49672,True,0.22728,0.53258,True,0.35745,0.85473,26.06611,0.99786,True,0.62493,0.86945,26.00181,0.98612,True,7381.065,809292248686
0,1158,(512 720),1100952,0.35743,0.85474,0,-0.03514,-0.07506,0.67529,0.0054,True,0.03285,-0.07757,0.66987,0.00501,True,0.2174,0.5061,7380.77,0.30176,13548,True,0.2543,0.57505,True,0.20665,0.50477,True,0.23048,0.53991,True,0.35743,0.85474,25.83748,0.98612,True,0.62488,0.86965,25.70365,0.97438,True,7381.072,809292315563
0,1159,(512 720),1100953,0.35755,0.85509,0,-0.03514,-0.07506,0.67529,0.0054,True,0.03285,-0.07757,0.66987,0.00497,True,0.21774,0.50656,7380.77,0.30859,13548,True,0.2608,0.52005,True,0.20603,0.53459,True,0.23341,0.52732,True,0.35755,0.85509,25.9964,0.98367,True,0.62495,0.86984,25.76382,0.98367,True,7381.079,809292382686
0,1161,(512 720),1100954,0.35747,0.85498,0,-0.03514,-0.07506,0.67529,0.0054,True,0.03285,-0.07757,0.66987,0.00498,True,0.21801,0.50684,7380.77,0.31494,13548,True,0.25841,0.51228,True,0.20302,0.5285,True,0.23071,0.52039,True,0.35747,0.85498,26.11666,0.99296,True,0.62488,0.86974,25.6855,0.99296,True,7381.085,809292449311
0,1162,(512 720),1100955,0.35743,0.85499,0,-0.03514,-0.07506,0.67529,0.00541,True,0.03336,-0.07873,0.68028,0.00497,True,0.21795,0.5066,7380.77,0.32178,13548,True,0.25497,0.50653,True,0.20146,0.52247,True,0.22822,0.5145,True,0.35743,0.85499,26.04368,1.00226,True,0.62488,0.86978,25.82324,1.00226,True,7381.092,809292516810
0,1164,(512 720),1100956,0.35741,0.85488,0,-0.03514,-0.07506,0.67529,0.00541,True,0.03336,-0.07873,0.68028,0.00499,True,0.21807,0.50694,7380.77,0.32861,13548,True,0.24697,0.52873,True,0.20091,0.51097,True,0.22394,0.51985,True,0.35741,0.85488,26.03648,1.00226,True,0.62493,0.86973,25.7011,1.00226,True,7381.099,809292583769
0,1165,(512 720),1100957,0.35744,0.85495,0,-0.03514,-0.07506,0.67529,0.00537,True,0.03336,-0.07873,0.68028,0.005,True,0.21838,0.50736,7380.77,0.33496,13548,True,0.24397,0.54912,True,0.20184,0.4803,True,0.22291,0.51471,True,0.35744,0.85495,26.1316,1.00226,True,0.62494,0.86975,25.7466,1.00226,True,7381.105,809292650534
0,1167,(512 720),1100958,0.35741,0.85499,0,-0.03548,-0.07566,0.67982,0.00541,True,0.03504,-0.08298,0.71563,0.00497,True,0.21866,0.50765,7380.77,0.3418,13548,True,0.24397,0.54912,True,0.19989,0.47218,True,0.22193,0.51065,True,0.35741,0.85499,25.97414,1.00226,True,0.62489,0.86981,25.71339,1.014,True,7381.112,809292717662
0,1169,(512 720),1100959,0.35752,0.85522,0,-0.03548,-0.07566,0.67982,0.00543,True,0.03504,-0.08298,0.71563,0.00495,True,0.21897,0.50743,7380.77,0.34863,13548,True,0.24726,0.51716,True,0.20378,0.47452,True,0.22552,0.49584,True,0.35752,0.85522,26.01928,1.014,True,0.62497,0.8701,25.70464,1.02574,True,7381.119,809292786771
0,1170,(512 720),1100960,0.35745,0.85516,0,-0.03548,-0.07566,0.67982,0.00542,True,0.03504,-0.08298,0.71563,0.00499,True,0.21864,0.50636,7380.77,0.35498,13548,True,0.23986,0.4976,True,0.19249,0.46573,True,0.21617,0.48167,True,0.35745,0.85516,25.91556,1.02574,True,0.62488,0.86999,25.91257,1.03749,True,7381.125,809292851266
0,1172,(512 720),1100961,0.35744,0.85511,0,-0.03685,-0.07863,0.70697,0.00542,True,0.03336,-0.07883,0.68028,0.005,True,0.21809,0.50477,7380.77,0.3623,13548,True,0.23134,0.48372,True,0.19063,0.45824,True,0.21098,0.47098,True,0.35744,0.85511,25.97322,1.04847,True,0.62488,0.86998,25.93861,1.04847,True,7381.132,809292920723
