CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,2175,(512 720),450499,0.36976,0.80511,0,-0.03365,-0.06674,0.70008,0.00628,True,0.03459,-0.07166,0.76623,0.00617,True,0.17649,0.49044,3019.896,0.27466,5056,True,0.18327,0.48984,True,0.15871,0.49194,True,0.17099,0.49089,True,0.36976,0.80511,27.75884,1.0541,True,0.61428,0.79924,28.24978,1.0541,True,3020.171,30733808843
0,2177,(512 720),450500,0.36976,0.80508,0,-0.0358,-0.07116,0.74591,0.00629,True,0.03398,-0.07023,0.75028,0.00618,True,0.17628,0.49029,3019.896,0.28125,5056,True,0.17904,0.48287,True,0.15596,0.48495,True,0.1675,0.48391,True,0.36976,0.80508,27.76898,1.06686,True,0.61425,0.79926,28.25427,1.06686,True,3020.177,30733875360
0,2178,(512 720),450501,0.36994,0.80498,0,-0.0358,-0.07116,0.74591,0.00629,True,0.03398,-0.07023,0.75028,0.00619,True,0.17613,0.48986,3019.896,0.28833,5056,True,0.17855,0.47073,True,0.16038,0.47177,True,0.16947,0.47125,True,0.36994,0.80498,27.89231,1.07961,True,0.61434,0.79915,28.39801,1.07961,True,3020.185,30733944652
0,2180,(512 720),450502,0.37,0.80502,0,-0.0358,-0.07116,0.74591,0.00629,True,0.03398,-0.07023,0.75028,0.00619,True,0.17602,0.48938,3019.896,0.29517,5056,True,0.18034,0.46786,True,0.16207,0.46944,True,0.17121,0.46865,True,0.37,0.80502,27.85974,1.09236,True,0.61439,0.79918,28.34391,1.09236,True,3020.191,30734013169
0,2182,(512 720),450503,0.37,0.80502,0,-0.03405,-0.06779,0.71055,0.00629,True,0.03398,-0.07023,0.75028,0.0062,True,0.17591,0.48893,3019.896,0.30151,5056,True,0.18034,0.46786,True,0.16207,0.46944,True,0.17121,0.46865,True,0.37,0.80502,27.85974,1.09236,True,0.6144,0.79919,28.29442,1.09236,True,3020.198,30734076363
0,2183,(512 720),450504,0.37006,0.805,0,-0.03405,-0.06779,0.71055,0.00627,True,0.03398,-0.07023,0.75028,0.00619,True,0.1757,0.48866,3019.896,0.30835,5056,True,0.16283,0.47555,True,0.16872,0.4768,True,0.16578,0.47617,True,0.37006,0.805,27.8438,1.07961,True,0.61449,0.79925,28.47781,1.07961,True,3020.205,30734146493
0,2185,(512 720),450505,0.37004,0.80493,0,-0.03405,-0.06779,0.71055,0.0063,True,0.03398,-0.07023,0.75028,0.00619,True,0.1756,0.48872,3019.896,0.31494,5056,True,0.1688,0.50957,True,0.17352,0.47372,True,0.17116,0.49164,True,0.37004,0.80493,27.78773,1.06686,True,0.6145,0.79918,28.45792,1.06686,True,3020.211,30734210543
0,2186,(512 720),450506,0.37006,0.80491,0,-0.03405,-0.06768,0.71055,0.00631,True,0.03398,-0.07023,0.75028,0.00618,True,0.17554,0.48886,3019.896,0.32153,5056,True,0.17316,0.51622,True,0.17606,0.48082,True,0.17461,0.49852,True,0.37006,0.80491,27.77874,1.0541,True,0.61448,0.79916,28.3688,1.0541,True,3020.218,30734277240
0,2188,(512 720),450507,0.37003,0.80488,0,-0.03405,-0.06768,0.71055,0.00629,True,0.03398,-0.07023,0.75028,0.00619,True,0.1758,0.4895,3019.896,0.32812,5056,True,0.16988,0.52373,True,0.17494,0.48801,True,0.17241,0.50587,True,0.37003,0.80488,27.77188,1.0541,True,0.6145,0.7992,28.45069,1.0541,True,3020.224,30734344311
0,2190,(512 720),450508,0.37009,0.80501,0,-0.03405,-0.06768,0.71055,0.00628,True,0.03398,-0.07023,0.75028,0.0062,True,0.17615,0.49029,3019.896,0.33521,5056,True,0.17225,0.49144,True,0.18331,0.51793,True,0.17778,0.50469,True,0.37009,0.80501,27.88702,1.0541,True,0.61456,0.79948,28.3157,1.0541,True,3020.231,30734413620
0,2191,(512 720),450509,0.37009,0.80507,0,-0.03405,-0.06779,0.71055,0.00627,True,0.03173,-0.06552,0.69943,0.00619,True,0.17653,0.49115,3019.896,0.34155,5056,True,0.17225,0.49144,True,0.18572,0.52436,True,0.17898,0.5079,True,0.37009,0.80507,27.79336,1.0541,True,0.6146,0.79954,28.21095,1.04173,True,3020.238,30734478207
0,2193,(512 720),450510,0.37006,0.80496,0,-0.03405,-0.06779,0.71055,0.00629,True,0.03173,-0.06552,0.69943,0.00619,True,0.17701,0.49202,3019.896,0.34863,5056,True,0.18018,0.52749,True,0.18269,0.50176,True,0.18143,0.51463,True,0.37006,0.80496,27.79382,1.04173,True,0.61455,0.79927,28.45256,1.02936,True,3020.245,30734547590
