CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,766,(512 720),350727,0.33795,0.75285,0,-0.04297,-0.05681,0.71185,0.00391,True,0.11354,-0.36395,4.50151,0.00417,False,0.18016,0.4553,2351.739,0.18115,3881,True,0.17015,0.44683,True,0.20477,0.45354,True,0.18746,0.45018,True,0.33795,0.75285,16.87524,1.00526,True,0.56346,0.75518,18.04388,0.99485,True,2351.92,1693090343652
0,767,(512 720),350728,0.3379,0.75285,0,-0.04297,-0.05681,0.71185,0.00391,True,0.11354,-0.36395,4.50151,0.00411,False,0.1808,0.45569,2351.739,0.1875,3881,True,0.17878,0.45668,True,0.21881,0.47654,True,0.19879,0.46661,True,0.3379,0.75285,17.22318,0.98257,True,0.5635,0.75532,18.24183,0.97216,True,2351.926,1693090408478
0,769,(512 720),350729,0.33791,0.75276,0,-0.0437,-0.05771,0.72386,0.00396,True,0.11354,-0.36395,4.50151,0.00415,False,0.18161,0.45658,2351.739,0.19434,3881,True,0.18686,0.47208,True,0.22357,0.49269,True,0.20522,0.48238,True,0.33791,0.75276,17.22139,0.95988,True,0.56346,0.75525,18.2218,0.94947,True,2351.933,1693090475188
0,771,(512 720),350730,0.33792,0.75283,0,-0.0437,-0.05771,0.72386,0.00399,True,0.11354,-0.36395,4.50151,0.00419,False,0.18231,0.45756,2351.739,0.20093,3881,True,0.18825,0.48029,True,0.21821,0.49408,True,0.20323,0.48719,True,0.33792,0.75283,17.04002,0.94947,True,0.56336,0.75533,18.45848,0.94947,True,2351.94,1693090542325
0,772,(512 720),350731,0.33796,0.75274,0,-0.0437,-0.05771,0.72386,0.00392,True,0.11354,-0.36395,4.50151,0.00415,False,0.18305,0.45895,2351.739,0.20776,3881,True,0.19394,0.50176,True,0.21804,0.50234,True,0.20599,0.50205,True,0.33796,0.75274,17.40714,0.94947,True,0.56339,0.75545,18.53623,0.94947,True,2351.947,1693090609221
0,774,(512 720),350732,0.33798,0.75274,0,-0.04535,-0.05996,0.75207,0.00394,True,0.11354,-0.36395,4.50151,0.00416,False,0.18364,0.46001,2351.739,0.21436,3881,True,0.1896,0.49372,True,0.21539,0.49374,True,0.2025,0.49373,True,0.33798,0.75274,17.40318,0.96174,True,0.56343,0.75544,18.48331,0.96174,True,2351.953,1693090676424
0,776,(512 720),350733,0.33796,0.75273,0,-0.04535,-0.05996,0.75207,0.00393,True,0.11354,-0.36395,4.50151,0.00415,False,0.18384,0.46098,2351.739,0.22095,3881,True,0.18632,0.45975,True,0.19464,0.52664,True,0.19048,0.4932,True,0.33796,0.75273,17.42668,0.97401,True,0.56334,0.75514,18.20711,0.97401,True,2351.96,1693090743075
0,777,(512 720),350734,0.33796,0.75276,0,-0.04535,-0.05996,0.75207,0.00396,True,0.11354,-0.36395,4.50151,0.00414,False,0.18363,0.46156,2351.739,0.22778,3881,True,0.16777,0.44923,True,0.18513,0.51332,True,0.17645,0.48127,True,0.33796,0.75276,17.38246,0.98629,True,0.56324,0.75519,18.1885,0.98629,True,2351.967,1693090810029
0,779,(512 720),350735,0.3379,0.75277,0,-0.04535,-0.05996,0.75207,0.00396,True,0.11283,-0.36141,4.47427,0.00414,False,0.18333,0.46188,2351.739,0.23462,3881,True,0.16329,0.44084,True,0.1822,0.50516,True,0.17274,0.473,True,0.3379,0.75277,17.63045,0.99856,True,0.56332,0.75529,18.43962,0.99856,True,2351.973,1693090879591
0,781,(512 720),350736,0.33785,0.75275,0,-0.04535,-0.05996,0.75207,0.004,True,0.11283,-0.36141,4.47427,0.00418,False,0.18346,0.46198,2351.739,0.24121,3881,True,0.16758,0.45227,True,0.20889,0.47889,True,0.18824,0.46558,True,0.33785,0.75275,17.6245,0.99856,True,0.56323,0.7553,18.69574,0.99856,True,2351.98,1693090944064
0,782,(512 720),350737,0.33787,0.75275,0,-0.04535,-0.05996,0.75207,0.004,True,0.11283,-0.36141,4.47427,0.0042,False,0.18361,0.46201,2351.739,0.24829,3881,True,0.17566,0.45575,True,0.20278,0.47043,True,0.18922,0.46309,True,0.33787,0.75275,17.71722,0.99856,True,0.56338,0.75545,18.78805,0.99856,True,2351.987,1693091015072
0,784,(512 720),350738,0.33781,0.75287,0,-0.04297,-0.05681,0.71185,0.00404,True,0.11354,-0.36395,4.50151,0.00427,False,0.18384,0.46225,2351.739,0.25464,3881,True,0.18,0.46396,True,0.20546,0.47901,True,0.19273,0.47148,True,0.33781,0.75287,17.66193,0.98629,True,0.56332,0.75541,18.63905,0.98629,True,2351.993,1693091078350
0,785,(512 720),350739,0.33777,0.75264,0,-0.04297,-0.05681,0.71185,0.00406,True,0.11354,-0.36395,4.50151,0.00422,False,0.18453,0.46321,2351.739,0.26123,3881,True,0.19619,0.47052,True,0.22612,0.53079,True,0.21115,0.50066,True,0.33777,0.75264,17.53061,0.97401,True,0.56316,0.75535,18.79166,0.97401,True,2352,1693091145022
0,787,(512 720),350740,0.33769,0.75269,0,-0.04297,-0.05681,0.71185,0.00407,True,0.11354,-0.36395,4.50151,0.00422,False,0.18524,0.46382,2351.739,0.26807,3881,True,0.19644,0.48309,True,0.2308,0.49352,True,0.21362,0.4883,True,0.33769,0.75269,17.69184,0.96174,True,0.56316,0.75533,18.74492,0.96174,True,2352.007,1693091212508
0,788,(512 720),350741,0.33742,0.75252,0,-0.04297,-0.05681,0.71185,0.00403,True,0.01823,-0.05697,0.70461,0.00423,True,0.18597,0.46452,2351.739,0.27466,3881,True,0.20069,0.49127,True,0.23118,0.49482,True,0.21593,0.49304,True,0.33742,0.75252,17.75657,0.94947,True,0.56317,0.75529,18.64931,0.95988,True,2352.013,1693091279026
0,790,(512 720),350742,0.33757,0.75263,0,-0.04297,-0.05681,0.71185,0.00415,True,0.01823,-0.05697,0.70461,0.00437,True,0.18679,0.4651,2351.739,0.28149,3881,True,0.22098,0.48935,True,0.22162,0.48988,True,0.2213,0.48962,True,0.33757,0.75263,17.14871,0.95988,True,0.56306,0.75586,18.95756,0.9703,True,2352.02,1693091348486
0,792,(512 720),350743,0.33734,0.75267,0,-0.04297,-0.05681,0.71185,0.0041,True,0.01823,-0.05697,0.70461,0.00432,True,0.18721,0.46506,2351.739,0.28809,3881,True,0.21239,0.47823,True,0.19792,0.44794,True,0.20515,0.46309,True,0.33734,0.75267,17.44171,0.9703,True,0.56311,0.75579,19.0244,0.98072,True,2352.027,1693091413011
0,793,(512 720),350744,0.33739,0.75258,0,-0.04592,-0.06062,0.75971,0.00402,True,0.01823,-0.05697,0.70461,0.00429,True,0.18747,0.46466,2351.739,0.29492,3881,True,0.20497,0.46313,True,0.1928,0.43126,True,0.19889,0.4472,True,0.33739,0.75258,17.62542,0.99299,True,0.56309,0.75569,19.07238,1.00341,True,2352.034,1693091482533
0,795,(512 720),350745,0.33739,0.75249,0,-0.04592,-0.06062,0.75971,0.00419,True,0.01823,-0.05697,0.70461,0.00431,True,0.18742,0.46457,2351.739,0.30151,3881,True,0.18982,0.46271,True,0.18114,0.45783,True,0.18548,0.46027,True,0.33739,0.75249,17.4268,1.01568,True,0.56296,0.75552,19.46449,1.01568,True,2352.04,1693091546950
0,796,(512 720),350746,0.33743,0.75255,0,-0.04592,-0.06062,0.75971,0.00413,True,0.01823,-0.05697,0.70461,0.0043,True,0.18742,0.46461,2351.739,0.30835,3881,True,0.1929,0.46834,True,0.18144,0.4652,True,0.18717,0.46677,True,0.33743,0.75255,17.48631,1.02795,True,0.56294,0.75561,19.38875,1.02795,True,2352.047,1693091616402
0,798,(512 720),350747,0.33737,0.75264,0,-0.04019,-0.05306,0.66488,0.00421,True,0.11359,-0.36655,4.52945,0.00433,False,0.1875,0.46487,2351.739,0.31494,3881,True,0.19625,0.47486,True,0.18622,0.47933,True,0.19123,0.4771,True,0.33737,0.75264,17.50877,1.01773,True,0.56286,0.75533,18.84614,1.00731,True,2352.054,1693091681264
0,800,(512 720),350748,0.33729,0.75281,0,-0.04019,-0.05306,0.66488,0.00427,True,0.11359,-0.36655,4.52945,0.00441,False,0.18844,0.4656,2351.739,0.32178,3881,True,0.21352,0.4963,True,0.19938,0.50544,True,0.20645,0.50087,True,0.33729,0.75281,17.48936,0.98481,True,0.56288,0.75546,18.74378,0.97439,True,2352.061,1693091750342
0,801,(512 720),350749,0.33734,0.75269,0,-0.04019,-0.05306,0.66488,0.00421,True,0.11359,-0.36655,4.52945,0.00439,False,0.18907,0.46667,2351.739,0.32837,3881,True,0.22138,0.5093,True,0.19711,0.51853,True,0.20924,0.51392,True,0.33734,0.75269,17.45426,0.95189,True,0.56286,0.75541,18.94089,0.94148,True,2352.067,1693091814939
0,803,(512 720),350750,0.33731,0.75263,0,-0.04592,-0.06062,0.75971,0.00422,True,0.01939,-0.06042,0.74732,0.00437,True,0.1897,0.46771,2351.739,0.33521,3881,True,0.22476,0.51603,True,0.19412,0.50991,True,0.20944,0.51297,True,0.33731,0.75263,17.39761,0.94148,True,0.56289,0.75546,19.02255,0.95398,True,2352.074,1693091884457
0,804,(512 720),350751,0.3373,0.7526,0,-0.04592,-0.06062,0.75971,0.00426,True,0.01939,-0.06042,0.74732,0.00436,True,0.19012,0.46871,2351.739,0.3418,3881,True,0.22566,0.49561,True,0.19211,0.50081,True,0.20888,0.49821,True,0.3373,0.7526,17.46361,0.97648,True,0.56288,0.75552,19.1479,0.99939,True,2352.081,1693091949311
0,806,(512 720),350752,0.33741,0.75295,0,-0.04592,-0.06062,0.75971,0.00426,True,0.01939,-0.06042,0.74732,0.00439,True,0.19046,0.46881,2351.739,0.34863,3881,True,0.20997,0.46708,True,0.1786,0.47644,True,0.19429,0.47176,True,0.33741,0.75295,17.75729,1.02189,True,0.56292,0.75558,18.94666,1.04481,True,2352.087,1693092018345
0,808,(512 720),350753,0.33744,0.75291,0,-0.04402,-0.05824,0.72911,0.00424,True,0.01909,-0.05954,0.73579,0.00437,True,0.19068,0.46862,2351.739,0.35498,3881,True,0.19961,0.44578,True,0.17099,0.45447,True,0.1853,0.45012,True,0.33744,0.75291,18.0132,1.05504,True,0.56296,0.75567,19.20179,1.07795,True,2352.094,1693092082871
0,810,(512 720),350754,0.33743,0.75304,0,-0.04402,-0.05824,0.72911,0.00424,True,0.01909,-0.05954,0.73579,0.00443,True,0.19062,0.46892,2351.739,0.36182,3881,True,0.1633,0.45992,True,0.17691,0.47885,True,0.17011,0.46938,True,0.33743,0.75304,18.37368,1.06568,True,0.56295,0.75573,19.03707,1.06568,True,2352.101,1693092149875
0,811,(512 720),350755,0.33747,0.75299,0,-0.04402,-0.05824,0.72911,0.00427,True,0.01909,-0.05954,0.73579,0.00439,True,0.19088,0.46925,2351.739,0.36865,3881,True,0.17114,0.46778,True,0.19201,0.46063,True,0.18157,0.46421,True,0.33747,0.75299,18.28273,1.05341,True,0.563,0.75567,19.21786,1.05341,True,2352.107,1693092219392
0,813,(512 720),350756,0.33752,0.75295,0,-0.04234,-0.05608,0.70141,0.00427,True,0.01909,-0.05954,0.73579,0.00445,True,0.19113,0.46958,2351.739,0.37549,3881,True,0.1753,0.47542,True,0.19466,0.46888,True,0.18498,0.47215,True,0.33752,0.75295,18.19068,1.04113,True,0.56308,0.7556,19.22384,1.04113,True,2352.114,1693092286277
0,814,(512 720),350757,0.33755,0.7532,0,-0.04234,-0.05608,0.70141,0.00423,True,0.01909,-0.05954,0.73579,0.00439,True,0.19104,0.46972,2351.739,0.38184,3881,True,0.17795,0.48991,True,0.1948,0.45423,True,0.18638,0.47207,True,0.33755,0.7532,18.77686,1.04113,True,0.56309,0.75553,19.26138,1.04113,True,2352.121,1693092350897
0,816,(512 720),350758,0.3377,0.75321,0,-0.04234,-0.05608,0.70141,0.00422,True,0.01909,-0.05954,0.73579,0.00439,True,0.19092,0.46854,2351.739,0.38867,3881,True,0.18047,0.40705,True,0.195,0.41852,True,0.18773,0.41278,True,0.3377,0.75321,18.67687,1.04113,True,0.5632,0.75583,19.69899,1.04113,True,2352.127,1693092420291
0,818,(512 720),350759,0.33773,0.75333,0,-0.04402,-0.05835,0.72911,0.00423,True,0.01816,-0.05657,0.69771,0.00441,True,0.19072,0.46721,2351.739,0.39526,3881,True,0.18047,0.40705,True,0.19768,0.42753,True,0.18907,0.41729,True,0.33773,0.75333,18.49166,1.04113,True,0.56323,0.75585,19.46685,1.02863,True,2352.134,1693092484774
0,819,(512 720),350760,0.33775,0.75333,0,-0.04402,-0.05835,0.72911,0.00426,True,0.01816,-0.05657,0.69771,0.00439,True,0.19058,0.46679,2351.739,0.40234,3881,True,0.15737,0.42009,True,0.20081,0.4858,True,0.17909,0.45295,True,0.33775,0.75333,18.30388,1.02863,True,0.56329,0.75578,19.49229,1.01613,True,2352.141,1693092554754
0,821,(512 720),350761,0.33781,0.75321,0,-0.04402,-0.05835,0.72911,0.00421,True,0.01816,-0.05657,0.69771,0.00438,True,0.19049,0.466,2351.739,0.40869,3881,True,0.16917,0.42469,True,0.20553,0.48219,True,0.18735,0.45344,True,0.33781,0.75321,18.4737,1.01613,True,0.56326,0.75589,19.69919,1.00363,True,2352.147,1693092618684
