CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,3675,(512 720),28243,0.4368,0.76543,0,0,0,0,0.00573,False,0.04947,-0.05921,0.67596,0.00577,True,0.20273,0.48734,190.9476,0.91087,506,True,0.21558,0.49087,True,0.17161,0.44378,True,0.19359,0.46733,True,0.4368,0.76543,25.72886,1.04616,True,0.68625,0.77755,28.54555,1.04616,True,191.8585,934277659124
0,3675,(512 720),28244,0.43679,0.76543,0,0,0,0,0.00572,False,0.04947,-0.05921,0.67596,0.00576,True,0.20232,0.48666,190.9476,0.91736,506,True,0.21535,0.48595,True,0.16741,0.43668,True,0.19138,0.46132,True,0.43679,0.76543,25.72761,1.05642,True,0.68626,0.77754,28.59344,1.05642,True,191.865,934277723951
0,3679,(512 720),28245,0.43679,0.76543,0,-0.01531,-0.05817,0.69438,0.00572,True,0.04947,-0.05921,0.67596,0.00578,True,0.20173,0.48556,190.9476,0.92429,506,True,0.2121,0.47976,True,0.16481,0.42962,True,0.18846,0.45469,True,0.43679,0.76543,25.72048,1.06667,True,0.68624,0.77749,28.56055,1.06667,True,191.8719,934277793254
0,3679,(512 720),28246,0.43676,0.76548,0,-0.01531,-0.05817,0.69438,0.00572,True,0.04947,-0.05921,0.67596,0.00577,True,0.20113,0.48477,190.9476,0.93098,506,True,0.2078,0.48422,True,0.16356,0.43142,True,0.18568,0.45782,True,0.43676,0.76548,25.75374,1.06667,True,0.6863,0.7776,28.7136,1.06667,True,191.8786,934277860193
0,3683,(512 720),28247,0.43677,0.76545,0,-0.01531,-0.05817,0.69438,0.00571,True,0.04947,-0.05921,0.67596,0.00578,True,0.20058,0.48388,190.9476,0.93774,506,True,0.2122,0.48877,True,0.1656,0.43382,True,0.1889,0.4613,True,0.43677,0.76545,25.77301,1.06667,True,0.68628,0.77761,28.63538,1.06667,True,191.8854,934277927817
0,3683,(512 720),28248,0.43678,0.76548,0,-0.01531,-0.05817,0.69438,0.00571,True,0.04947,-0.05921,0.67596,0.00578,True,0.20005,0.48306,190.9476,0.94412,506,True,0.2122,0.48877,True,0.1656,0.43382,True,0.1889,0.4613,True,0.43678,0.76548,25.72082,1.06667,True,0.68629,0.77761,28.66978,1.06667,True,191.8918,934277991611
0,3683,(512 720),28249,0.43679,0.76541,0,-0.01531,-0.05817,0.69438,0.00573,True,0.04947,-0.05921,0.67596,0.00579,True,0.19982,0.48203,190.9476,0.95107,506,True,0.21504,0.48165,True,0.1705,0.42312,True,0.19277,0.45238,True,0.43679,0.76541,25.79316,1.06667,True,0.68636,0.77758,28.8388,1.06667,True,191.8987,934278061031
0,3687,(512 720),28250,0.43679,0.76538,0,-0.01531,-0.05817,0.69438,0.00574,True,0.04947,-0.05921,0.67596,0.00577,True,0.19919,0.4808,190.9476,0.95753,506,True,0.1886,0.46709,True,0.17171,0.4225,True,0.18015,0.44479,True,0.43679,0.76538,25.79242,1.06667,True,0.68638,0.77755,28.88921,1.06667,True,191.9052,934278125746
0,3687,(512 720),28251,0.43679,0.76534,0,-0.01448,-0.05521,0.65907,0.00574,True,0.04947,-0.05921,0.67596,0.00579,True,0.19866,0.47978,190.9476,0.96454,506,True,0.19206,0.47341,True,0.17424,0.42963,True,0.18315,0.45152,True,0.43679,0.76534,25.80087,1.05642,True,0.68634,0.7775,28.80453,1.05642,True,191.9122,934278195837
0,3690,(512 720),28252,0.43682,0.7653,0,-0.01448,-0.05521,0.65907,0.00574,True,0.04947,-0.05921,0.67596,0.00583,True,0.1982,0.4791,190.9476,0.97095,506,True,0.19105,0.47986,True,0.17474,0.4383,True,0.1829,0.45908,True,0.43682,0.7653,25.75303,1.04616,True,0.68639,0.77745,28.81218,1.04616,True,191.9186,934278259815
0,3690,(512 720),28253,0.43687,0.76529,0,-0.01448,-0.05521,0.65907,0.00579,True,0.04947,-0.05921,0.67596,0.00581,True,0.19785,0.47844,190.9476,0.97803,506,True,0.19874,0.48992,True,0.18428,0.44923,True,0.19151,0.46957,True,0.43687,0.76529,25.7026,1.0359,True,0.68641,0.77756,28.83364,1.0359,True,191.9257,934278330614
0,3694,(512 720),28254,0.43689,0.76529,0,-0.01488,-0.05689,0.67971,0.00578,True,0.04947,-0.05921,0.67596,0.00583,True,0.19751,0.47778,190.9476,0.98477,506,True,0.19874,0.48992,True,0.18428,0.44923,True,0.19151,0.46957,True,0.43689,0.76529,25.72111,1.0359,True,0.68643,0.77751,28.76712,1.0359,True,191.9324,934278398027
0,3694,(512 720),28255,0.43691,0.76509,0,-0.01488,-0.05689,0.67971,0.00574,True,0.04947,-0.05921,0.67596,0.00578,True,0.19721,0.47688,190.9476,0.99101,506,True,0.19546,0.49647,True,0.18063,0.4217,True,0.18804,0.45908,True,0.43691,0.76509,25.79674,1.04616,True,0.68641,0.77731,28.83433,1.04616,True,191.9387,934278460562
0,3694,(512 720),28256,0.43682,0.76498,0,-0.01488,-0.05689,0.67971,0.00575,True,0.04947,-0.05921,0.67596,0.00579,True,0.19679,0.47615,190.9476,0.99803,506,True,0.18635,0.52254,True,0.17559,0.41032,True,0.18097,0.46643,True,0.43682,0.76498,25.70433,1.05642,True,0.68638,0.77722,28.83114,1.05642,True,191.9457,934278530715
0,3698,(512 720),28257,0.43682,0.76489,0,-0.01448,-0.05516,0.65907,0.00573,True,0.04947,-0.05921,0.67596,0.00579,True,0.19646,0.47563,190.9476,1.00444,506,True,0.18635,0.52254,True,0.17559,0.41032,True,0.18097,0.46643,True,0.43682,0.76489,25.93809,1.05642,True,0.68639,0.77723,28.81812,1.05642,True,191.9521,934278594796
0,3698,(512 720),28258,0.4369,0.76511,0,-0.01448,-0.05516,0.65907,0.00573,True,0.04947,-0.05921,0.67596,0.00583,True,0.1963,0.47537,190.9476,1.01112,506,True,0.19788,0.50788,True,0.18343,0.43523,True,0.19065,0.47156,True,0.4369,0.76511,25.98006,1.04616,True,0.68642,0.77741,28.74576,1.04616,True,191.9588,934278661553
0,3702,(512 720),28259,0.43691,0.76516,0,-0.01448,-0.05516,0.65907,0.00577,True,0.04947,-0.05921,0.67596,0.00582,True,0.19617,0.47536,190.9476,1.01823,506,True,0.20483,0.51502,True,0.18216,0.44253,True,0.1935,0.47877,True,0.43691,0.76516,25.83464,1.0359,True,0.68644,0.77736,28.76212,1.0359,True,191.9659,934278732788
