CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,1491,(512 720),281634,0.30416,0.86671,0,-0.04947,-0.07756,0.67594,0.00654,True,0.01478,-0.07914,0.67508,0.00637,True,0.19511,0.48272,1889.562,0.28809,5542,True,0.18542,0.49978,True,0.20849,0.46826,True,0.19695,0.48402,True,0.30416,0.86671,30.51107,1.01946,True,0.55255,0.87453,29.76451,1.01946,True,1889.85,754380096345
0,1492,(512 720),281635,0.30416,0.86671,0,0,0,0,0.00653,False,0.01478,-0.07914,0.67508,0.00634,True,0.19521,0.48288,1889.562,0.2948,5542,True,0.18821,0.50504,True,0.21085,0.47432,True,0.19953,0.48968,True,0.30416,0.86671,30.51107,1.00936,True,0.55257,0.87453,29.89722,1.00936,True,1889.856,754380163184
0,1495,(512 720),281636,0.30411,0.86669,0,0,0,0,0.00654,False,0.01478,-0.07914,0.67508,0.00636,True,0.19525,0.48304,1889.562,0.30151,5542,True,0.18405,0.50447,True,0.21003,0.47643,True,0.19704,0.49045,True,0.30411,0.86669,30.52376,0.99926,True,0.55251,0.87448,29.81994,0.99926,True,1889.863,754380230309
0,1496,(512 720),281637,0.30409,0.86675,0,0,0,0,0.00656,False,0.01478,-0.07914,0.67508,0.00635,True,0.19536,0.48338,1889.562,0.30823,5542,True,0.18953,0.50683,True,0.21182,0.49113,True,0.20068,0.49898,True,0.30409,0.86675,30.45803,0.98917,True,0.55256,0.87452,29.83903,0.98917,True,1889.87,754380297084
0,1498,(512 720),281638,0.30409,0.86675,0,0,0,0,0.00656,False,0.01478,-0.07914,0.67508,0.00635,True,0.19553,0.48382,1889.562,0.31482,5542,True,0.19238,0.51219,True,0.21422,0.49712,True,0.2033,0.50466,True,0.30409,0.86675,30.45803,0.97907,True,0.55256,0.87454,29.77989,0.97907,True,1889.876,754380364008
0,1499,(512 720),281639,0.30411,0.86666,0,0,0,0,0.00655,False,0.01478,-0.07914,0.67508,0.00639,True,0.19578,0.48405,1889.562,0.3219,5542,True,0.19115,0.51309,True,0.21459,0.49848,True,0.20287,0.50578,True,0.30411,0.86666,30.52742,0.97907,True,0.55251,0.87455,29.86456,0.97907,True,1889.884,754380433704
0,1501,(512 720),281640,0.30411,0.86669,0,0,0,0,0.00654,False,0.01478,-0.07914,0.67508,0.00636,True,0.19583,0.48438,1889.562,0.32849,5542,True,0.19363,0.515,True,0.21558,0.49202,True,0.2046,0.50351,True,0.30411,0.86669,30.52376,0.97907,True,0.55255,0.87456,29.83529,0.97907,True,1889.89,754380499881
0,1502,(512 720),281641,0.30411,0.86669,0,0,0,0,0.00654,False,0.01478,-0.07914,0.67508,0.0064,True,0.19591,0.48477,1889.562,0.33496,5542,True,0.19363,0.515,True,0.21558,0.49202,True,0.2046,0.50351,True,0.30411,0.86669,30.52376,0.97907,True,0.55249,0.87457,29.7842,0.97907,True,1889.897,754380564985
0,1504,(512 720),281642,0.30412,0.86663,0,0,0,0,0.00656,False,0.01478,-0.07914,0.67508,0.00642,True,0.19604,0.48486,1889.562,0.34167,5542,True,0.19133,0.50885,True,0.21436,0.49534,True,0.20284,0.5021,True,0.30412,0.86663,30.46865,0.97907,True,0.55252,0.87454,29.80112,0.97907,True,1889.903,754380631956
0,1506,(512 720),281643,0.30409,0.86661,0,0,0,0,0.00655,False,0.01478,-0.07914,0.67508,0.00638,True,0.1962,0.48547,1889.562,0.34863,5542,True,0.18959,0.50796,True,0.2149,0.49121,True,0.20224,0.49958,True,0.30409,0.86661,30.59108,0.97907,True,0.55249,0.8745,29.89542,0.97907,True,1889.91,754380701400
0,1507,(512 720),281644,0.30409,0.86661,0,0,0,0,0.00655,False,0.01478,-0.07914,0.67508,0.00638,True,0.19642,0.4862,1889.562,0.3551,5542,True,0.18959,0.50796,True,0.2149,0.49121,True,0.20224,0.49958,True,0.30409,0.86661,30.59108,0.97907,True,0.55249,0.8745,29.89542,0.97907,True,1889.917,754380765977
0,1509,(512 720),281645,0.30411,0.86661,0,0,0,0,0.00654,False,0.01478,-0.07914,0.67508,0.0064,True,0.19674,0.48693,1889.562,0.36206,5542,True,0.192,0.50771,True,0.21436,0.49534,True,0.20318,0.50153,True,0.30411,0.86661,30.64984,0.97907,True,0.5525,0.87452,29.81259,0.97907,True,1889.924,754380835558
0,1510,(512 720),281646,0.30411,0.86663,0,0,0,0,0.00655,False,0.01478,-0.07914,0.67508,0.00643,True,0.19712,0.48738,1889.562,0.36841,5542,True,0.19007,0.50875,True,0.21356,0.49623,True,0.20182,0.50249,True,0.30411,0.86663,30.61273,0.97907,True,0.55252,0.87453,29.83254,0.97907,True,1889.93,754380899905
