CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,1346,(512 720),894950,0.35122,0.88618,0,-0.03493,-0.07755,0.63981,0.00647,True,0.02149,-0.07435,0.64413,0.00701,True,0.17608,0.47316,6026.254,0.95801,15177,True,0.18109,0.49311,True,0.1731,0.51477,True,0.17709,0.50394,True,0.35122,0.88618,27.6496,1.03787,True,0.58166,0.86698,29.00809,1.03787,True,6027.212,60804639891
0,1347,(512 720),894951,0.35126,0.88602,0,-0.03493,-0.07755,0.63981,0.00647,True,0.02149,-0.07435,0.64413,0.00697,True,0.1764,0.4736,6026.254,0.96484,15177,True,0.18318,0.47048,True,0.18197,0.49689,True,0.18257,0.48369,True,0.35126,0.88602,27.76636,1.03787,True,0.58168,0.86678,28.87097,1.03787,True,6027.219,60804707268
0,1349,(512 720),894952,0.3513,0.88605,0,-0.03493,-0.07755,0.63981,0.00646,True,0.02149,-0.07435,0.64413,0.00697,True,0.17661,0.47378,6026.254,0.97168,15177,True,0.1805,0.46508,True,0.17997,0.49083,True,0.18023,0.47796,True,0.3513,0.88605,27.89453,1.04759,True,0.58189,0.86672,29.07003,1.04759,True,6027.226,60804776442
0,1350,(512 720),894953,0.35161,0.88617,0,-0.03493,-0.07755,0.63981,0.00654,True,0.02149,-0.07435,0.64413,0.00695,True,0.17691,0.47407,6026.254,0.97803,15177,True,0.17303,0.48218,True,0.19203,0.48475,True,0.18253,0.48347,True,0.35161,0.88617,28.39408,1.0573,True,0.58224,0.86696,29.9129,1.0573,True,6027.232,60804841120
0,1352,(512 720),894954,0.35149,0.88627,0,-0.03493,-0.07755,0.63981,0.00654,True,0.02149,-0.07435,0.64413,0.00693,True,0.17711,0.47362,6026.254,0.98486,15177,True,0.16974,0.45056,True,0.1883,0.44529,True,0.17902,0.44792,True,0.35149,0.88627,28.04554,1.06701,True,0.58219,0.86701,29.83836,1.06701,True,6027.239,60804907916
0,1354,(512 720),894955,0.35151,0.8863,0,-0.03493,-0.07755,0.63981,0.00655,True,0.02149,-0.07435,0.64413,0.00693,True,0.17726,0.47305,6026.254,0.9917,15177,True,0.16704,0.44512,True,0.18644,0.43887,True,0.17674,0.442,True,0.35151,0.8863,28.23641,1.07673,True,0.58219,0.86704,29.76893,1.07673,True,6027.246,60804975204
0,1355,(512 720),894956,0.35134,0.88594,0,-0.03493,-0.07755,0.63981,0.00651,True,0.02149,-0.07435,0.64413,0.00703,True,0.17738,0.47321,6026.254,0.99854,15177,True,0.1589,0.45984,True,0.19836,0.49008,True,0.17863,0.47496,True,0.35134,0.88594,28.17402,1.07673,True,0.58182,0.86665,29.05765,1.07673,True,6027.253,60805041814
0,1357,(512 720),894957,0.35127,0.88591,0,-0.03493,-0.07755,0.63981,0.0065,True,0.02149,-0.07435,0.64413,0.00703,True,0.17806,0.47363,6026.254,1.00488,15177,True,0.19261,0.44609,True,0.2163,0.49277,True,0.20446,0.46943,True,0.35127,0.88591,28.21306,1.07673,True,0.58178,0.86664,29.11055,1.07673,True,6027.259,60805109036
0,1359,(512 720),894958,0.35123,0.88599,0,-0.03493,-0.07755,0.63981,0.00652,True,0.0216,-0.07505,0.6502,0.00704,True,0.17874,0.47405,6026.254,1.01172,15177,True,0.19261,0.44609,True,0.2163,0.49277,True,0.20446,0.46943,True,0.35123,0.88599,28.19739,1.07673,True,0.58167,0.86663,29.13403,1.07673,True,6027.266,60805176176
0,1360,(512 720),894959,0.35122,0.88638,0,-0.03493,-0.07755,0.63981,0.00655,True,0.0216,-0.07505,0.6502,0.00694,True,0.17925,0.47382,6026.254,1.01855,15177,True,0.1937,0.45269,True,0.2162,0.44775,True,0.20495,0.45022,True,0.35122,0.88638,28.20556,1.07673,True,0.5819,0.86713,29.90226,1.07673,True,6027.273,60805243206
