CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,6859,(512 720),387132,0.39724,0.7855,0,-0.02675,-0.06209,0.69275,0.0043,True,0.03633,-0.0593,0.67294,0.00402,True,0.35184,0.56217,2605.874,0.16748,6901,True,0.43817,0.62679,True,0.42549,0.61694,True,0.43183,0.62186,True,0.39724,0.7855,18.78774,1.00146,True,0.63925,0.78003,18.7171,0.99031,True,2606.041,26520304873
0,6859,(512 720),387133,0.3982,0.78595,0,-0.02675,-0.06209,0.69275,0.00416,True,0.03633,-0.0593,0.67294,0.00403,True,0.35575,0.56366,2605.874,0.17383,6901,True,0.46111,0.58038,True,0.45394,0.62456,True,0.45752,0.60247,True,0.3982,0.78595,19.71478,1.00146,True,0.64049,0.77979,18.08241,1.00146,True,2606.048,26520369290
0,6861,(512 720),387134,0.39795,0.78579,0,-0.02675,-0.06209,0.69275,0.00421,True,0.03633,-0.0593,0.67294,0.00416,True,0.35888,0.56444,2605.874,0.18091,6901,True,0.46021,0.58984,True,0.42647,0.58095,True,0.44334,0.58539,True,0.39795,0.78579,19.1505,1.01262,True,0.64029,0.77985,17.87065,1.01262,True,2606.055,26520440092
0,6863,(512 720),387135,0.39823,0.78598,0,-0.02675,-0.06214,0.69275,0.00418,True,0.03887,-0.06335,0.71883,0.00409,True,0.38672,0.57028,2605.874,0.18091,6901,False,0.45941,0.5839,True,0.42585,0.56915,True,0.44263,0.57653,True,0.39823,0.78598,19.6289,1.02377,True,0.64045,0.77975,18.23956,1.03492,True,2606.061,26520503429
0,6864,(512 720),387136,0.39822,0.7861,0,-0.02675,-0.06214,0.69275,0.00415,True,0.03887,-0.06335,0.71883,0.0041,True,0.41514,0.57859,2605.874,0.18091,6901,False,0.45527,0.57626,True,0.43185,0.59753,True,0.44356,0.58689,True,0.39822,0.7861,19.67258,1.03492,True,0.64044,0.77969,18.16789,1.04608,True,2606.068,26520570229
0,6867,(512 720),387137,0.3982,0.78612,0,-0.02675,-0.06214,0.69275,0.00412,True,0.03887,-0.06335,0.71883,0.00405,True,0.4234,0.57792,2605.874,0.18091,6901,False,0.45024,0.58778,True,0.42958,0.56537,True,0.43991,0.57658,True,0.3982,0.78612,19.65204,1.04608,True,0.64037,0.77976,18.15064,1.05723,True,2606.074,26520637384
0,6868,(512 720),387138,0.3982,0.7863,0,-0.02708,-0.06294,0.70112,0.00409,True,0.03887,-0.0634,0.71883,0.00403,True,0.42738,0.57613,2606.061,0.02026,6902,True,0.44936,0.58201,True,0.42932,0.55956,True,0.43934,0.57078,True,0.3982,0.7863,20.08902,1.05723,True,0.64043,0.77978,18.4227,1.06838,True,2606.081,26520704297
0,6870,(512 720),387139,0.39831,0.78648,0,-0.02708,-0.06294,0.70112,0.00414,True,0.03887,-0.0634,0.71883,0.00406,True,0.43036,0.57437,2606.061,0.0271,6902,True,0.45471,0.57756,True,0.42979,0.55711,True,0.44225,0.56733,True,0.39831,0.78648,19.73989,1.06838,True,0.64049,0.77988,18.40812,1.06838,True,2606.088,26520773501
0,6871,(512 720),387140,0.39819,0.78644,0,-0.02708,-0.06294,0.70112,0.00414,True,0.03887,-0.0634,0.71883,0.00407,True,0.43235,0.57323,2606.061,0.03369,6902,True,0.45045,0.58009,True,0.43415,0.55493,True,0.4423,0.56751,True,0.39819,0.78644,19.83417,1.06838,True,0.64064,0.78006,18.30627,1.06838,True,2606.095,26520838377
0,6873,(512 720),387141,0.39826,0.78636,0,-0.02675,-0.06224,0.69275,0.0041,True,0.03704,-0.06033,0.68404,0.00404,True,0.43378,0.57283,2606.061,0.04053,6902,True,0.45045,0.58009,True,0.43436,0.56079,True,0.44241,0.57044,True,0.39826,0.78636,19.83835,1.06838,True,0.64069,0.7801,18.56138,1.05723,True,2606.102,26520907494
0,6874,(512 720),387142,0.3982,0.78646,0,-0.02675,-0.06224,0.69275,0.00414,True,0.03704,-0.06033,0.68404,0.00398,True,0.43598,0.57133,2606.061,0.04688,6902,True,0.45833,0.53907,True,0.44433,0.58259,True,0.45133,0.56083,True,0.3982,0.78646,19.81867,1.05723,True,0.64069,0.78046,19.00772,1.04608,True,2606.108,26520971963
0,6876,(512 720),387143,0.39834,0.78653,0,-0.02675,-0.06224,0.69275,0.00417,True,0.03704,-0.06033,0.68404,0.00414,True,0.43696,0.57313,2606.061,0.05396,6902,True,0.46172,0.56572,True,0.4279,0.60939,True,0.44481,0.58756,True,0.39834,0.78653,19.63247,1.04608,True,0.64088,0.78065,18.78644,1.03492,True,2606.115,26521041459
0,6877,(512 720),387144,0.39816,0.78633,0,-0.02643,-0.06162,0.68575,0.00419,True,0.03717,-0.06048,0.68455,0.00398,True,0.43785,0.57572,2606.061,0.0603,6902,True,0.46324,0.57772,True,0.42848,0.62031,True,0.44586,0.59902,True,0.39816,0.78633,18.8832,1.02377,True,0.64066,0.78054,18.95011,1.01262,True,2606.121,26521106187
0,6879,(512 720),387145,0.39861,0.78661,0,-0.02643,-0.06162,0.68575,0.00411,True,0.03717,-0.06048,0.68455,0.00406,True,0.44014,0.57733,2606.061,0.06738,6902,True,0.48264,0.60341,True,0.44348,0.58341,True,0.46306,0.59341,True,0.39861,0.78661,19.79284,1.00146,True,0.64113,0.78078,18.87001,1.00146,True,2606.128,26521175691
0,6880,(512 720),387146,0.39867,0.78656,0,-0.02643,-0.06162,0.68575,0.0041,True,0.03717,-0.06048,0.68455,0.00413,True,0.4419,0.57838,2606.061,0.07373,6902,True,0.4706,0.5954,True,0.45178,0.58443,True,0.46119,0.58992,True,0.39867,0.78656,19.63563,0.99031,True,0.64122,0.7808,18.89046,0.99031,True,2606.135,26521240153
0,6882,(512 720),387147,0.39856,0.78627,0,-0.02719,-0.06371,0.70962,0.00417,True,0.03882,-0.06308,0.71395,0.00409,True,0.44338,0.57904,2606.061,0.08032,6902,True,0.4706,0.5954,True,0.45174,0.57846,True,0.46117,0.58693,True,0.39856,0.78627,18.78474,0.99031,True,0.64126,0.7806,18.84728,1.00146,True,2606.141,26521307083
0,6884,(512 720),387148,0.3991,0.78649,0,-0.02719,-0.06371,0.70962,0.00411,True,0.03882,-0.06308,0.71395,0.00415,True,0.44368,0.57896,2606.061,0.0874,6902,True,0.46678,0.58143,True,0.42848,0.57454,True,0.44763,0.57798,True,0.3991,0.78649,19.60162,1.01262,True,0.64162,0.7809,19.0112,1.02377,True,2606.148,26521376485
0,6886,(512 720),387149,0.3992,0.78642,0,-0.02719,-0.06371,0.70962,0.00411,True,0.03882,-0.06308,0.71395,0.00414,True,0.44481,0.5785,2606.061,0.09375,6902,True,0.48098,0.55711,True,0.44019,0.58684,True,0.46058,0.57198,True,0.3992,0.78642,19.62367,1.03492,True,0.64186,0.781,18.96252,1.04608,True,2606.155,26521441009
0,6887,(512 720),387150,0.39916,0.78597,0,-0.02617,-0.06168,0.68704,0.00421,True,0.0393,-0.06351,0.71885,0.00405,True,0.44577,0.57772,2606.061,0.10083,6902,True,0.48041,0.55096,True,0.44003,0.58121,True,0.46022,0.56608,True,0.39916,0.78597,18.40465,1.04608,True,0.64193,0.78067,18.56263,1.05723,True,2606.162,26521510345
0,6889,(512 720),387151,0.39983,0.78635,0,-0.02617,-0.06168,0.68704,0.00406,True,0.0393,-0.06351,0.71885,0.00408,True,0.4452,0.57815,2606.061,0.10718,6902,True,0.45206,0.58155,True,0.41997,0.58836,True,0.43601,0.58495,True,0.39983,0.78635,19.95984,1.04608,True,0.64228,0.78081,18.53427,1.04608,True,2606.168,26521575041
0,6890,(512 720),387152,0.39992,0.78635,0,-0.02617,-0.06168,0.68704,0.00409,True,0.0393,-0.06351,0.71885,0.00413,True,0.44569,0.57944,2606.061,0.11401,6902,True,0.47053,0.60155,True,0.4376,0.60135,True,0.45406,0.60145,True,0.39992,0.78635,19.66733,1.03492,True,0.64245,0.78103,18.669,1.03492,True,2606.175,26521642281
0,6892,(512 720),387153,0.39983,0.78595,0,-0.02614,-0.06203,0.69153,0.00419,True,0.03719,-0.05986,0.67756,0.00411,True,0.44616,0.58104,2606.061,0.12061,6902,True,0.4712,0.60722,True,0.43798,0.61243,True,0.45459,0.60983,True,0.39983,0.78595,18.74187,1.02377,True,0.64261,0.78072,18.32339,1.01262,True,2606.182,26521709361
0,6893,(512 720),387154,0.40038,0.78622,0,-0.02614,-0.06203,0.69153,0.00414,True,0.03719,-0.05986,0.67756,0.004,True,0.44649,0.58154,2606.061,0.12744,6902,True,0.46993,0.59977,True,0.43577,0.58226,True,0.45285,0.59101,True,0.40038,0.78622,19.5519,1.01262,True,0.64277,0.78086,18.45554,1.00146,True,2606.188,26521778240
0,6895,(512 720),387155,0.40037,0.78594,0,-0.02614,-0.06203,0.69153,0.00417,True,0.03719,-0.05986,0.67756,0.0041,True,0.44622,0.58245,2606.061,0.13403,6902,True,0.45576,0.60566,True,0.42565,0.59576,True,0.4407,0.60071,True,0.40037,0.78594,19.11788,1.00146,True,0.64292,0.78097,18.40894,0.99031,True,2606.195,26521843013
0,6897,(512 720),387156,0.40049,0.78581,0,-0.02526,-0.06014,0.67106,0.00422,True,0.0377,-0.06045,0.68303,0.00405,True,0.44599,0.58355,2606.061,0.14087,6902,True,0.45662,0.61149,True,0.42597,0.60162,True,0.4413,0.60655,True,0.40049,0.78581,19.0524,0.99031,True,0.64303,0.78093,18.73946,0.97916,True,2606.202,26521912238
0,6899,(512 720),387157,0.40061,0.78574,0,-0.02526,-0.06014,0.67106,0.00421,True,0.0377,-0.06045,0.68303,0.0041,True,0.44626,0.5845,2606.061,0.14746,6902,True,0.47084,0.60239,True,0.43346,0.60856,True,0.45215,0.60547,True,0.40061,0.78574,19.00704,0.97916,True,0.64304,0.78091,18.70004,0.97916,True,2606.208,26521976895
0,6900,(512 720),387158,0.40081,0.78614,0,-0.02526,-0.06014,0.67106,0.00415,True,0.0377,-0.06045,0.68303,0.00401,True,0.44658,0.58543,2606.061,0.1543,6902,True,0.47482,0.60472,True,0.43307,0.60877,True,0.45394,0.60675,True,0.40081,0.78614,19.77622,0.97916,True,0.64317,0.78122,19.04646,0.97916,True,2606.215,26522046255
0,6902,(512 720),387159,0.40058,0.78569,0,-0.02526,-0.06014,0.67106,0.0042,True,0.0377,-0.06045,0.68303,0.00401,True,0.44688,0.58628,2606.061,0.16089,6902,True,0.47482,0.60472,True,0.43307,0.60877,True,0.45394,0.60675,True,0.40058,0.78569,18.60944,0.97916,True,0.64316,0.78121,19.03858,0.97916,True,2606.222,26522110934
