CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,1360,(512 720),19684,0.29225,0.83469,0,-0.05658,-0.07607,0.72755,0.00603,True,0.01124,-0.06871,0.68725,0.00583,True,0.19216,0.53972,132.6943,0.38138,334,True,0.20516,0.54044,True,0.17667,0.52363,True,0.19091,0.53204,True,0.29225,0.83469,27.48456,0.99994,True,0.53889,0.8197,26.82435,0.98962,True,133.0757,171108868549
0,1361,(512 720),19685,0.29216,0.83454,0,-0.05658,-0.07607,0.72755,0.00604,True,0.01124,-0.06871,0.68725,0.00585,True,0.19262,0.54,132.6943,0.38812,334,True,0.2006,0.53301,True,0.17035,0.5636,True,0.18547,0.54831,True,0.29216,0.83454,27.63901,0.98962,True,0.53878,0.81953,26.91885,0.97931,True,133.0825,171108935896
0,1363,(512 720),19686,0.29212,0.83456,0,-0.05658,-0.07607,0.72755,0.00607,True,0.01124,-0.06871,0.68725,0.00587,True,0.19284,0.54079,132.6943,0.39481,334,True,0.20115,0.53891,True,0.18911,0.57041,True,0.19513,0.55466,True,0.29212,0.83456,27.55759,0.97931,True,0.53867,0.81951,26.73626,0.969,True,133.0891,171109002749
0,1365,(512 720),19687,0.29212,0.83456,0,-0.05336,-0.07167,0.68548,0.00607,True,0.01124,-0.06871,0.68725,0.00587,True,0.19318,0.54183,132.6943,0.40152,334,True,0.20814,0.55025,True,0.19416,0.58247,True,0.20115,0.56636,True,0.29212,0.83456,27.55759,0.95848,True,0.53867,0.81951,26.73626,0.94817,True,133.0959,171109069866
0,1367,(512 720),19688,0.29193,0.83486,0,-0.05336,-0.07167,0.68548,0.00606,True,0.01124,-0.06871,0.68725,0.00583,True,0.19339,0.54317,132.6943,0.4082,334,True,0.20452,0.58107,True,0.18773,0.57127,True,0.19612,0.57617,True,0.29193,0.83486,27.62143,0.93765,True,0.53854,0.81973,26.7296,0.93765,True,133.1025,171109136731
0,1368,(512 720),19689,0.29197,0.83467,0,-0.05336,-0.07167,0.68548,0.00604,True,0.01124,-0.06871,0.68725,0.00584,True,0.19376,0.54396,132.6943,0.41492,334,True,0.21118,0.5768,True,0.21639,0.55292,True,0.21378,0.56486,True,0.29197,0.83467,27.61057,0.92712,True,0.53851,0.81959,26.80342,0.92712,True,133.1093,171109203949
0,1370,(512 720),19690,0.29197,0.83467,0,-0.05509,-0.07392,0.70706,0.00604,True,0,0,0,0.00583,False,0.19401,0.5445,132.6943,0.42157,334,True,0.21118,0.5768,True,0.21407,0.54649,True,0.21263,0.56164,True,0.29197,0.83467,27.61057,0.92712,True,0.53852,0.81956,26.78259,0.93744,True,133.1159,171109270448
0,1372,(512 720),19691,0.29194,0.83437,0,-0.05509,-0.07392,0.70706,0.00605,True,0,0,0,0.00586,False,0.19426,0.54429,132.6943,0.42851,334,True,0.22553,0.53948,True,0.20313,0.54883,True,0.21433,0.54416,True,0.29194,0.83437,27.48858,0.94796,True,0.53845,0.81931,26.8315,0.95827,True,133.1228,171109339888
0,1373,(512 720),19692,0.29192,0.83449,0,-0.05509,-0.07392,0.70706,0.00606,True,0,0,0,0.00586,False,0.19426,0.54388,132.6943,0.435,334,True,0.21865,0.53895,True,0.19544,0.54703,True,0.20705,0.54299,True,0.29192,0.83449,27.39894,0.96879,True,0.53838,0.8194,26.8788,0.9791,True,133.1293,171109404777
0,1375,(512 720),19693,0.29192,0.8345,0,-0.05509,-0.07392,0.70706,0.00606,True,0,0,0,0.00587,False,0.1941,0.54315,132.6943,0.44171,334,True,0.21195,0.52749,True,0.19058,0.53458,True,0.20127,0.53103,True,0.29192,0.8345,27.42669,0.98962,True,0.53839,0.8194,26.87305,0.99994,True,133.136,171109471783
0,1376,(512 720),19694,0.29194,0.83494,0,-0.05509,-0.07392,0.70706,0.00604,True,0,0,0,0.00582,False,0.19363,0.54295,132.6943,0.44836,334,True,0.17817,0.56491,True,0.19263,0.53209,True,0.1854,0.5485,True,0.29194,0.83494,27.40996,0.99994,True,0.53848,0.81976,26.71027,0.99994,True,133.1427,171109538458
0,1378,(512 720),19695,0.29198,0.83485,0,-0.05509,-0.07392,0.70706,0.00602,True,0,0,0,0.00585,False,0.19335,0.54295,132.6943,0.45532,334,True,0.18504,0.55514,True,0.19738,0.52613,True,0.19121,0.54063,True,0.29198,0.83485,27.50536,0.99994,True,0.5385,0.81968,26.60973,0.99994,True,133.1497,171109608006
0,1380,(512 720),19696,0.29201,0.83482,0,-0.05509,-0.07392,0.70706,0.00606,True,0,0,0,0.00584,False,0.19318,0.54319,132.6943,0.46178,334,True,0.18504,0.55514,True,0.19738,0.52613,True,0.19121,0.54063,True,0.29201,0.83482,27.49803,0.99994,True,0.53851,0.8197,26.69971,0.99994,True,133.1561,171109672573
0,1381,(512 720),19697,0.2921,0.83451,0,-0.05509,-0.07392,0.70706,0.00608,True,0,0,0,0.00587,False,0.19308,0.54316,132.6943,0.46872,334,True,0.19447,0.52845,True,0.18289,0.50433,True,0.18868,0.51639,True,0.2921,0.83451,27.39603,0.99994,True,0.53867,0.81953,26.77079,0.99994,True,133.1631,171109741903
0,1383,(512 720),19698,0.29222,0.83464,0,-0.05509,-0.07392,0.70706,0.00602,True,0,0,0,0.00583,False,0.19307,0.54334,132.6943,0.47517,334,True,0.20405,0.53427,True,0.16738,0.51777,True,0.18571,0.52602,True,0.29222,0.83464,27.52173,0.99994,True,0.53888,0.81968,26.90279,0.99994,True,133.1695,171109806555
0,1385,(512 720),19699,0.29226,0.83464,0,-0.05658,-0.07607,0.72755,0.00602,True,0,0,0,0.00581,False,0.19313,0.54368,132.6943,0.48212,334,True,0.20405,0.53427,True,0.16738,0.51777,True,0.18571,0.52602,True,0.29226,0.83464,27.32806,0.99994,True,0.5389,0.81973,26.80369,0.99994,True,133.1765,171109875864
0,1386,(512 720),19700,0.29275,0.83497,0,-0.05658,-0.07607,0.72755,0.00603,True,0,0,0,0.00583,False,0.19332,0.54454,132.6943,0.48859,334,True,0.18761,0.5282,True,0.17115,0.5358,True,0.17938,0.532,True,0.29275,0.83497,27.37559,0.99994,True,0.53933,0.82024,26.7458,0.99994,True,133.1829,171109940606
