CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,4459,(512 720),47134,0.30761,0.86626,0,0,0,0,0.00581,False,0.11297,-0.44931,3.87755,0.00585,False,0.1809,0.48532,316.1791,0.77707,626,True,0.16154,0.47586,True,0.19775,0.47334,True,0.17964,0.4746,True,0.30761,0.86626,27.61896,1.01699,True,0.57281,0.8691,28.53187,1.0071,True,316.9562,692573916955
0,4460,(512 720),47135,0.30754,0.86625,0,0,0,0,0.0058,False,0.11297,-0.44931,3.87755,0.00585,False,0.18162,0.48491,316.1791,0.78372,626,True,0.18242,0.49091,True,0.19059,0.46808,True,0.1865,0.4795,True,0.30754,0.86625,27.61795,1.0071,True,0.57271,0.86911,28.63119,1.0071,True,316.9629,692573983347
0,4463,(512 720),47136,0.30752,0.86631,0,0,0,0,0.00579,False,0.11297,-0.44931,3.87755,0.00585,False,0.18231,0.48484,316.1791,0.79068,626,True,0.18449,0.49412,True,0.18692,0.50314,True,0.18571,0.49863,True,0.30752,0.86631,27.59924,1.0071,True,0.57269,0.86909,28.70165,1.0071,True,316.9698,692574052811
0,4464,(512 720),47137,0.30751,0.86643,0,-0.04797,-0.07696,0.66982,0.00581,True,0.11192,-0.44751,3.86197,0.00585,False,0.18293,0.48459,316.1791,0.79712,626,True,0.18203,0.48868,True,0.18469,0.49767,True,0.18336,0.49318,True,0.30751,0.86643,27.71815,1.01658,True,0.57269,0.86909,28.70165,1.01658,True,316.9763,692574117360
0,4466,(512 720),47138,0.30741,0.86645,0,-0.04797,-0.07696,0.66982,0.0059,True,0.11192,-0.44751,3.86197,0.00585,False,0.18326,0.48425,316.1791,0.80408,626,True,0.17711,0.49188,True,0.18908,0.46591,True,0.18309,0.4789,True,0.30741,0.86645,27.47363,1.02606,True,0.5727,0.86914,28.67864,1.02606,True,316.9832,692574186822
0,4467,(512 720),47139,0.30744,0.8664,0,-0.04797,-0.07696,0.66982,0.00587,True,0.11192,-0.44751,3.86197,0.00587,False,0.18345,0.48365,316.1791,0.81055,626,True,0.17444,0.48858,True,0.18273,0.45822,True,0.17859,0.4734,True,0.30744,0.8664,27.51013,1.03554,True,0.57268,0.86915,28.69653,1.03554,True,316.9897,692574251618
0,4469,(512 720),47140,0.30746,0.86641,0,-0.0447,-0.07165,0.62356,0.00586,True,0.11932,-0.4773,4.11912,0.00588,False,0.18364,0.48304,316.1791,0.81726,626,True,0.17444,0.48858,True,0.18046,0.45223,True,0.17745,0.47041,True,0.30746,0.86641,27.57315,1.03554,True,0.57266,0.86916,28.71281,1.04543,True,316.9964,692574318664
0,4470,(512 720),47141,0.30743,0.86645,0,-0.0447,-0.07165,0.62356,0.00582,True,0.11932,-0.4773,4.11912,0.00588,False,0.18355,0.48313,316.1791,0.82391,626,True,0.17239,0.47855,True,0.17787,0.47809,True,0.17513,0.47832,True,0.30743,0.86645,27.93436,1.03595,True,0.57267,0.86899,28.8474,1.04584,True,317.0031,692574385337
0,4472,(512 720),47142,0.30744,0.86641,0,-0.0447,-0.07165,0.62356,0.00585,True,0.11932,-0.4773,4.11912,0.00587,False,0.18339,0.48341,316.1791,0.83066,626,True,0.17559,0.48503,True,0.17492,0.47513,True,0.17526,0.48008,True,0.30744,0.86641,27.85058,1.03636,True,0.57266,0.86902,28.82589,1.04625,True,317.0098,692574452623
0,4473,(512 720),47143,0.30747,0.86641,0,-0.04797,-0.07696,0.66982,0.00585,True,0.11932,-0.4773,4.11912,0.00587,False,0.1832,0.48362,316.1791,0.83731,626,True,0.17303,0.47943,True,0.17259,0.46937,True,0.17281,0.4744,True,0.30747,0.86641,27.90827,1.04625,True,0.57265,0.869,28.90265,1.05614,True,317.0164,692574519368
