CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,1273,(512 720),32839,0.38569,0.87745,0,-0.02866,-0.08141,0.68744,0.0065,True,0.03025,-0.0783,0.71024,0.00668,True,0.19345,0.47503,220.322,0.9512,593,True,0.18619,0.43288,True,0.19388,0.49659,True,0.19004,0.46473,True,0.38569,0.87745,25.28607,1.05253,True,0.6061,0.85036,27.5452,1.05253,True,221.2732,2672623849
0,1274,(512 720),32840,0.38565,0.8776,0,-0.02866,-0.08141,0.68744,0.00652,True,0.03025,-0.0783,0.71024,0.00668,True,0.19356,0.47486,220.322,0.95811,593,True,0.18357,0.41046,True,0.18856,0.50808,True,0.18607,0.45927,True,0.38565,0.8776,25.4667,1.05253,True,0.60601,0.85041,27.41317,1.05253,True,221.2801,2672693065
0,1276,(512 720),32841,0.38563,0.87764,0,-0.02749,-0.07799,0.6581,0.00654,True,0.02953,-0.07661,0.69444,0.00668,True,0.1937,0.47473,220.322,0.96483,593,True,0.18669,0.41637,True,0.18827,0.50719,True,0.18748,0.46178,True,0.38563,0.87764,25.34772,1.0422,True,0.60591,0.85046,27.32709,1.05392,True,221.2868,2672760155
0,1278,(512 720),32842,0.38551,0.87801,0,-0.02749,-0.07799,0.6581,0.00649,True,0.02953,-0.07661,0.69444,0.00669,True,0.1937,0.47459,220.322,0.9716,593,True,0.18451,0.43622,True,0.1864,0.49434,True,0.18546,0.46528,True,0.38551,0.87801,25.51703,1.04359,True,0.60592,0.85072,27.608,1.05531,True,221.2936,2672827958
0,1280,(512 720),32843,0.38552,0.87785,0,-0.02749,-0.07799,0.6581,0.00651,True,0.02953,-0.07661,0.69444,0.00671,True,0.19359,0.47465,220.322,0.97798,593,True,0.18147,0.43767,True,0.18596,0.47995,True,0.18372,0.45881,True,0.38552,0.87785,25.54105,1.04498,True,0.6059,0.85066,27.42799,1.0567,True,221.2999,2672891673
0,1281,(512 720),32844,0.38547,0.87783,0,-0.02794,-0.07908,0.66774,0.00651,True,0.02961,-0.07695,0.69888,0.00667,True,0.19344,0.47463,220.322,0.98492,593,True,0.17787,0.43121,True,0.1835,0.4721,True,0.18068,0.45166,True,0.38547,0.87783,25.58211,1.0567,True,0.60601,0.85071,27.82069,1.06842,True,221.3069,2672961121
0,1282,(512 720),32845,0.38532,0.87748,0,-0.02794,-0.07908,0.66774,0.00651,True,0.02961,-0.07695,0.69888,0.00665,True,0.19355,0.47429,220.322,0.99135,593,True,0.18627,0.3897,True,0.19127,0.47973,True,0.18877,0.43471,True,0.38532,0.87748,25.61893,1.07875,True,0.60578,0.85021,27.70613,1.07875,True,221.3133,2673025387
0,1284,(512 720),32846,0.38532,0.87774,0,-0.02794,-0.07908,0.66774,0.00655,True,0.02961,-0.07695,0.69888,0.00677,True,0.1936,0.47429,220.322,0.99837,593,True,0.18243,0.39772,True,0.19013,0.48752,True,0.18628,0.44262,True,0.38532,0.87774,25.42742,1.08907,True,0.60573,0.85046,27.60293,1.08907,True,221.3203,2673095525
0,1286,(512 720),32847,0.38536,0.87784,0,-0.02938,-0.08306,0.70092,0.00651,True,0.02968,-0.07729,0.70058,0.00677,True,0.19356,0.47407,220.322,1.00478,593,True,0.17586,0.38505,True,0.1856,0.47306,True,0.18073,0.42905,True,0.38536,0.87784,25.77622,1.11161,True,0.60571,0.85053,27.49399,1.11161,True,221.3267,2673159635
0,1288,(512 720),32848,0.38533,0.87806,0,-0.02938,-0.08306,0.70092,0.00651,True,0.02968,-0.07729,0.70058,0.00671,True,0.19356,0.47367,220.322,1.0117,593,True,0.17076,0.40611,True,0.1858,0.45287,True,0.17828,0.42949,True,0.38533,0.87806,25.73861,1.12381,True,0.60572,0.8507,27.47806,1.12381,True,221.3337,2673228947
