TrialNumber,FrameNumber,MousePositionX,MousePositionY,TrackingAccuracy
0,1304,960,544,6.403124
0,1305,960,544,6.590142
0,1306,960,544,6.403124
0,1307,960,544,6.590128
0,1308,960,544,7.121818
0,1309,960,544,7.929047
0,1310,960,544,8.937582
0,1311,960,544,10.08714
0,1312,960,544,11.33486
0,1313,960,544,12.65188
0,1314,960,544,14.01856
0,1315,960,544,15.42178
0,1316,960,544,16.85228
0,1317,960,544,18.3038
0,1318,960,544,19.77172
0,1319,960,544,21.25249
0,1320,960,544,22.7438
0,1321,960,544,24.24356
0,1322,960,544,25.75028
0,1323,960,544,27.26297
0,1324,960,544,28.78053
0,1325,960,544,30.30234
0,1326,960,544,31.82763
0,1327,960,544,33.35607
0,1328,960,544,34.88726
0,1329,961,544,35.43669
0,1330,961,544,36.97106
0,1331,961,544,38.50723
0,1332,962,544,39.05834
0,1333,962,544,40.59701
0,1334,962,544,42.13699
0,1335,962,544,43.67831
0,1336,962,544,45.221
0,1337,962,544,46.7646
0,1338,962,544,48.30928
0,1339,962,544,49.8548
0,1340,962,544,51.40118
0,1341,962,544,52.94817
0,1342,963,544,53.50294
0,1343,964,544,54.05787
0,1344,965,543,54.54863
0,1345,968,543,53.11607
0,1346,977,542,45.67241
0,1347,985,542,39.28358
0,1348,991,542,34.88966
0,1349,994,541,33.42165
0,1350,994,541,34.96305
0,1351,994,541,36.50593
0,1352,994,541,38.05011
0,1353,994,541,39.59544
0,1354,995,541,40.14981
0,1355,997,540,39.69955
0,1356,1001,538,37.33282
0,1357,1004,537,35.97689
0,1358,1006,536,35.63997
0,1359,1007,536,36.18986
0,1360,1009,535,35.88137
0,1361,1010,535,36.42942
0,1362,1010,535,37.95982
0,1363,1011,536,38.3921
0,1364,1016,537,34.90359
0,1365,1024,538,28.4857
0,1366,1032,538,22.19412
0,1367,1038,538,17.91799
0,1368,1039,538,18.45187
0,1369,1040,538,18.98708
0,1370,1040,538,20.48656
0,1371,1040,538,21.99452
0,1372,1040,538,23.50901
0,1373,1040,538,25.02894
0,1374,1041,538,25.57498
0,1375,1041,538,27.10085
0,1376,1041,538,28.63028
0,1377,1042,538,29.17933
0,1378,1047,536,26.03669
0,1379,1053,535,21.96507
0,1380,1056,534,20.87106
0,1381,1057,534,21.39043
0,1382,1057,534,22.84862
0,1383,1057,534,24.31939
0,1384,1057,534,25.80063
0,1385,1057,534,27.29029
0,1386,1060,534,25.91281
0,1387,1066,534,21.71947
0,1388,1071,533,18.89686
0,1389,1077,533,15.0788
0,1390,1081,532,13.7064
0,1391,1082,532,14.11705
0,1392,1082,532,15.31217
0,1393,1082,532,16.56787
0,1394,1083,532,17.03024
0,1395,1085,532,16.66474
0,1396,1087,532,16.30299
0,1397,1090,533,14.6472
0,1398,1094,533,12.75225
0,1399,1100,532,10.66436
0,1400,1103,532,10.0733
0,1401,1103,532,10.71974
0,1402,1104,532,10.99611
0,1403,1105,532,11.29333
0,1404,1107,532,11.05703
0,1405,1108,532,11.35851
0,1406,1113,533,9.073063
0,1407,1118,533,8.620308
0,1408,1123,534,8.773908
0,1409,1129,534,11.49844
0,1410,1135,534,15.06302
0,1411,1141,534,19.0006
0,1412,1144,535,20.05056
0,1413,1144,535,18.6
0,1414,1144,535,17.16832
0,1415,1144,535,15.76103
0,1416,1145,535,15.26365
0,1417,1148,536,16.2801
0,1418,1153,537,19.31068
0,1419,1156,537,20.68915
0,1420,1157,537,20.15346
0,1421,1157,537,18.66686
0,1422,1157,537,17.19281
0,1423,1157,537,15.73524
0,1424,1158,537,15.21772
0,1425,1158,538,13.60819
0,1426,1158,538,12.19222
0,1427,1159,538,11.69346
0,1428,1161,538,12.08676
0,1429,1166,538,15.24479
0,1430,1172,538,19.46296
0,1431,1178,538,23.76253
0,1432,1183,539,27.07002
0,1433,1184,539,26.5214
0,1434,1184,539,24.99344
0,1435,1184,539,23.46954
0,1436,1184,539,21.95055
0,1437,1184,539,20.43756
0,1438,1184,539,18.93201
0,1439,1184,539,17.43584
0,1440,1184,539,15.95155
0,1441,1184,539,14.48318
0,1442,1185,539,13.96151
0,1443,1185,539,12.52319
0,1444,1185,538,11.25177
0,1445,1186,538,10.76432
0,1446,1187,538,10.28424
0,1447,1191,537,12.62951
0,1448,1194,537,13.92368
0,1449,1196,537,14.32548
0,1450,1196,537,12.91721
0,1451,1198,537,13.31236
0,1452,1200,537,13.71031
0,1453,1202,536,14.35673
0,1454,1203,536,13.85879
0,1455,1204,536,13.36567
0,1456,1205,536,12.87792
0,1457,1207,536,13.2625
0,1458,1209,536,13.65039
0,1459,1209,536,12.29556
0,1460,1209,536,10.99469
0,1461,1209,536,9.769762
0,1462,1209,536,8.653012
0,1463,1209,536,7.691429
0,1464,1210,536,7.396466
0,1465,1210,536,6.752433
0,1466,1210,536,6.429766
0,1467,1210,536,6.476798
0,1468,1210,536,6.885919
0,1469,1210,536,7.598868
0,1470,1211,536,7.913883
0,1471,1211,536,8.919504
0,1472,1212,536,9.31719
0,1473,1214,536,9.001908
0,1474,1218,536,7.490053
0,1475,1223,536,6.418557
0,1476,1228,536,7.069463
0,1477,1231,536,7.790469
0,1478,1234,536,8.692449
0,1479,1234,536,7.723978
0,1480,1234,536,6.973022
0,1481,1234,536,6.514973
0,1482,1234,536,6.413058
0,1483,1236,536,6.40368
0,1484,1238,537,5.854585
0,1485,1241,537,6.153683
0,1486,1243,537,6.30854
0,1487,1246,537,6.986758
0,1488,1249,537,7.873106
0,1489,1251,537,8.176066
0,1490,1253,537,8.491147
0,1491,1253,537,7.435438
0,1492,1254,537,7.102217
0,1493,1255,537,6.798663
0,1494,1257,536,7.516652
0,1495,1258,536,7.239674
0,1496,1259,536,6.996332
0,1497,1261,536,7.185461
0,1498,1265,535,9.083519
0,1499,1270,535,11.55817
0,1500,1273,535,12.72874
0,1501,1275,535,13.09796
0,1502,1277,535,13.47131
0,1503,1279,534,14.24036
0,1504,1279,534,12.96511
0,1505,1279,534,11.75842
0,1506,1279,534,10.64362
0,1507,1281,534,10.94812
0,1508,1282,534,10.56403
0,1509,1284,534,10.86598
0,1510,1284,534,9.846181
0,1511,1285,534,9.51622
0,1512,1286,534,9.208377
0,1513,1287,534,8.92494
0,1514,1287,534,8.283659
0,1515,1287,534,7.902113
0,1516,1287,534,7.818424
0,1517,1288,534,7.863826
0,1518,1289,534,7.948328
0,1519,1292,534,7.810324
0,1520,1293,534,7.832721
0,1521,1295,534,7.811721
0,1522,1298,534,7.915973
0,1523,1301,534,8.273822
0,1524,1302,534,8.106605
0,1525,1303,534,7.975055
0,1526,1303,534,7.810437
0,1527,1304,534,7.826536
0,1528,1304,534,8.07827
0,1529,1305,534,8.23876
0,1530,1305,534,8.859066
0,1531,1306,535,8.512853
0,1532,1307,535,8.836298
0,1533,1308,535,9.182248
0,1534,1308,535,10.24726
0,1535,1309,535,10.6588
0,1536,1312,535,9.627934
0,1537,1317,536,7.111084
0,1538,1321,536,6.436244
0,1539,1326,536,6.984236
0,1540,1330,536,8.267723
0,1541,1333,537,8.86044
0,1542,1335,537,9.197287
0,1543,1336,537,8.77218
0,1544,1337,537,8.362925
0,1545,1337,537,7.326555
0,1546,1337,537,6.502174
0,1547,1337,537,5.978133
0,1548,1337,538,5.390532
0,1549,1338,538,5.444163
0,1550,1339,538,5.55379
0,1551,1339,538,6.124388
0,1552,1339,538,7.002283
0,1553,1339,538,8.088091
0,1554,1340,538,8.51309
0,1555,1341,538,8.952892
0,1556,1341,538,10.24122
0,1557,1341,538,11.59605
0,1558,1342,538,12.09386
0,1559,1342,538,13.50748
0,1560,1344,538,13.10396
0,1561,1345,538,13.61537
0,1562,1346,538,14.13036
0,1563,1347,538,14.64857
0,1564,1350,538,13.31887
0,1565,1351,538,13.83184
0,1566,1352,538,14.34823
0,1567,1354,537,14.11839
0,1568,1360,536,10.57572
0,1569,1367,535,7.671738
0,1570,1375,535,7.874603
0,1571,1382,534,11.846
0,1572,1384,534,12.18117
0,1573,1384,534,11.0303
0,1574,1384,534,9.990705
0,1575,1384,534,9.100589
0,1576,1385,534,8.826838
0,1577,1386,534,8.580727
0,1578,1386,534,8.060957
0,1579,1387,534,7.941171
0,1580,1387,534,7.811215
0,1581,1389,534,7.816735
0,1582,1392,534,8.00602
0,1583,1396,535,8.224703
0,1584,1400,535,9.701326
0,1585,1402,535,10.00853
0,1586,1403,535,9.621142
0,1587,1404,535,9.251305
0,1588,1405,535,8.901282
0,1589,1406,535,8.573339
0,1590,1406,535,7.798534
0,1591,1407,535,7.57985
0,1592,1408,536,6.761281
0,1593,1410,536,6.915592
0,1594,1412,536,7.094022
0,1595,1413,536,6.872001
0,1596,1413,536,6.471179
0,1597,1413,536,6.433342
0,1598,1414,536,6.51122
0,1599,1415,536,6.635423
0,1600,1415,536,7.203158
0,1601,1416,536,7.475588
0,1602,1418,536,7.257755
0,1603,1421,536,6.701002
0,1604,1427,536,6.861419
0,1605,1431,536,8.0669
0,1606,1434,536,9.016335
0,1607,1435,536,8.632106
0,1608,1436,536,8.267723
0,1609,1436,536,7.380994
0,1610,1436,536,6.742615
0,1611,1436,536,6.427021
0,1612,1437,536,6.403126
0,1613,1438,536,6.427902
0,1614,1439,536,6.500801
0,1615,1439,536,6.941988
0,1616,1441,536,6.783745
0,1617,1441,536,7.445393
0,1618,1442,536,7.745548
0,1619,1442,536,8.718251
0,1620,1444,536,8.425163
0,1621,1449,535,7.357946
0,1622,1456,535,7.84894
0,1623,1458,535,8.05018
0,1624,1458,535,7.432349
0,1625,1458,535,7.108673
0,1626,1458,535,7.119452
0,1627,1458,535,7.463238
0,1628,1458,535,8.097728
0,1629,1459,535,8.384215
0,1630,1459,535,9.315131
0,1631,1460,535,9.688132
0,1632,1460,535,10.81375
0,1633,1461,534,11.7216
0,1634,1463,534,11.39625
0,1635,1466,534,10.39387
0,1636,1469,533,10.16575
0,1637,1470,533,10.47414
0,1638,1470,533,11.43544
0,1639,1470,533,12.51748
0,1640,1471,533,12.92915
0,1641,1476,533,10.61017
0,1642,1479,532,10.57122
0,1643,1480,533,10.119
0,1644,1481,533,10.42404
0,1645,1482,533,10.74963
0,1646,1482,533,11.75083
0,1647,1482,533,12.8634
0,1648,1483,533,13.28424
0,1649,1484,533,13.71477
0,1650,1488,533,11.91232
0,1651,1495,532,9.840467
0,1652,1506,532,11.53758
0,1653,1514,533,15.65795
0,1654,1517,533,16.88072
0,1655,1518,533,16.40225
0,1656,1518,533,15.09736
0,1657,1518,533,13.84474
0,1658,1518,533,12.66044
0,1659,1518,533,11.56539
0,1660,1518,533,10.58707
0,1661,1518,533,9.76098
0,1662,1518,533,9.128302
0,1663,1519,534,8.199085
0,1664,1519,534,7.866155
0,1665,1519,534,7.835032
0,1666,1521,534,7.812356
0,1667,1522,534,7.845262
0,1668,1524,534,7.815974
0,1669,1526,535,7.072495
0,1670,1527,535,7.083345
0,1671,1528,535,7.138051
0,1672,1530,535,7.091235
0,1673,1530,535,7.374398
0,1674,1531,535,7.552062
0,1675,1531,535,8.229945
0,1676,1532,535,8.529337
0,1677,1535,535,7.815348
0,1678,1541,535,7.158075
0,1679,1546,535,8.410553
0,1680,1550,535,9.946268
0,1681,1551,535,9.561678
0,1682,1552,535,9.19472
0,1683,1552,535,8.285486
0,1684,1553,535,8.008486
0,1685,1553,535,7.405643
0,1686,1554,536,6.61033
0,1687,1557,536,7.106789
0,1688,1563,536,9.880122
0,1689,1564,537,9.084011
0,1690,1564,537,7.951907
0,1691,1565,537,7.583095
0,1692,1566,537,7.238512
0,1693,1568,537,7.508407
0,1694,1568,537,6.637655
0,1695,1569,537,6.389477
0,1696,1569,537,5.925438
0,1697,1571,537,6.019552
0,1698,1573,537,6.143998
0,1699,1575,537,6.297001
