TrialNumber,FrameNumber,MousePositionX,MousePositionY,TrackingAccuracy
0,991,962,531,10.48809
0,992,1027,518,72.17558
0,993,1056,511,100.4092
0,994,1105,498,149.5473
0,995,1133,490,177.1581
0,996,1146,485,189.5474
0,997,1152,483,194.3772
0,998,1153,482,194.1396
0,999,1153,482,192.6531
0,1000,1153,482,191.1676
0,1001,1153,482,189.6834
0,1002,1153,482,188.2004
0,1003,1153,482,186.7187
0,1004,1153,482,185.2382
0,1005,1153,482,183.7589
0,1006,1153,482,182.2811
0,1007,1153,482,180.8045
0,1008,1153,482,179.3294
0,1009,1151,482,175.9671
0,1010,1144,482,167.9141
0,1011,1134,482,157.1232
0,1012,1124,483,146.0565
0,1013,1119,483,140.0455
0,1014,1116,484,135.4809
0,1015,1113,484,131.3467
0,1016,1109,486,125.4717
0,1017,1105,487,120.0379
0,1018,1101,488,114.625
0,1019,1099,489,111.0061
0,1020,1097,490,107.3924
0,1021,1094,491,102.9055
0,1022,1091,492,98.43546
0,1023,1082,495,87.80801
0,1024,1065,501,68.97935
0,1025,1044,506,48.42485
0,1026,1030,511,34.79085
0,1027,1011,517,23.62209
0,1028,1001,521,23.87178
0,1029,996,523,26.80952
0,1030,993,524,29.83236
0,1031,991,525,32.36165
0,1032,991,525,33.73047
0,1033,991,526,34.6996
0,1034,991,526,36.11436
0,1035,991,527,37.17914
0,1036,993,528,36.42894
0,1037,995,529,35.69645
0,1038,998,531,33.75646
0,1039,1002,532,31.1689
0,1040,1006,534,28.36232
0,1041,1009,534,26.97991
0,1042,1013,534,24.65329
0,1043,1019,533,20.80418
0,1044,1029,529,16.00861
0,1045,1037,526,15.41052
0,1046,1046,522,18.98504
0,1047,1049,521,20.23003
0,1048,1049,521,19.91607
0,1049,1050,521,19.83217
0,1050,1050,521,19.68026
0,1051,1050,521,19.65122
0,1052,1050,521,19.74561
0,1053,1050,521,19.96164
0,1054,1050,522,19.36244
0,1055,1052,523,18.31964
0,1056,1053,525,16.64683
0,1057,1054,527,15.07475
0,1058,1055,529,13.63842
0,1059,1055,530,13.6805
0,1060,1056,531,13.31465
0,1061,1057,532,13.0395
