TrialNumber,FrameNumber,MousePositionX,MousePositionY,TrackingAccuracy
0,1029,960,542,5.385165
0,1030,960,542,5.606245
0,1031,960,542,5.385165
0,1032,960,542,5.606227
0,1033,960,542,6.222562
0,1034,960,542,7.132306
0,1035,960,542,8.238955
0,1036,960,542,9.473665
0,1037,960,542,10.79255
0,1038,960,542,12.16841
0,1039,960,542,13.58381
0,1040,960,542,15.02769
0,1041,960,542,16.49241
0,1042,960,542,17.97301
0,1043,960,542,19.46589
0,1044,960,542,20.96827
0,1045,960,542,22.47845
0,1046,960,542,23.99479
0,1047,960,542,25.51621
0,1048,960,542,27.04199
0,1049,960,542,28.57129
0,1050,960,542,30.10369
0,1051,960,542,31.63855
0,1052,960,542,33.1757
0,1053,960,542,34.71485
0,1054,960,542,36.25556
0,1055,960,542,37.79794
0,1056,960,542,39.34144
0,1057,960,542,40.8861
0,1058,960,542,42.43198
0,1059,960,542,43.9786
0,1060,960,542,45.52604
0,1061,960,542,47.07442
0,1062,960,542,48.62329
0,1063,960,542,50.17289
0,1064,960,542,51.723
0,1065,960,542,53.27367
0,1066,960,542,54.82469
0,1067,960,542,56.3762
0,1068,962,541,55.91031
0,1069,965,540,54.46607
0,1070,968,539,53.04071
0,1071,971,539,51.60635
0,1072,979,535,45.46595
0,1073,997,528,31.29903
0,1074,1013,521,24.14233
0,1075,1023,518,23.24305
0,1076,1026,518,22.93919
0,1077,1032,518,22.56293
0,1078,1036,517,23.69549
0,1079,1037,517,23.63751
0,1080,1037,517,23.54528
0,1081,1037,517,23.55606
0,1082,1037,517,23.66973
0,1083,1039,519,21.68511
0,1084,1042,520,20.62482
0,1085,1044,522,18.68239
0,1086,1044,523,17.80493
0,1087,1044,525,16.15115
0,1088,1044,526,15.63857
0,1089,1043,526,16.61186
0,1090,1043,526,17.36369
0,1091,1044,527,16.87714
0,1092,1044,528,17.0874
0,1093,1044,530,16.88153
0,1094,1043,531,18.36477
0,1095,1042,532,20.11554
0,1096,1042,532,21.50485
0,1097,1042,532,22.91588
0,1098,1042,533,24.03491
0,1099,1042,533,25.49659
0,1100,1042,533,26.96915
0,1101,1043,533,27.49938
0,1102,1044,533,28.03072
0,1103,1044,534,29.2973
0,1104,1045,534,29.83616
0,1105,1046,536,30.04486
0,1106,1047,536,30.59121
0,1107,1052,537,27.10686
0,1108,1057,537,23.7578
0,1109,1063,538,19.35436
0,1110,1065,538,18.9309
0,1111,1065,538,20.43027
0,1112,1066,538,20.96986
0,1113,1066,538,22.47987
0,1114,1071,538,19.15676
0,1115,1077,538,14.94692
0,1116,1084,537,10.30937
0,1117,1087,537,9.157225
0,1118,1089,537,8.821535
0,1119,1090,537,9.248264
0,1120,1090,538,10.26355
