TrialNumber,FrameNumber,MousePositionX,MousePositionY,TrackingAccuracy
0,1438,957,543,6.557438
0,1439,957,543,6.006409
0,1440,957,543,6.557438
0,1441,957,543,7.401516
0,1442,957,543,8.451432
0,1443,957,543,9.639962
0,1444,957,543,10.92213
0,1445,957,543,12.26849
0,1446,957,543,13.66006
0,1447,957,543,15.08449
0,1448,957,543,16.53313
0,1449,957,543,18.00026
0,1450,957,543,19.48153
0,1451,957,543,20.9741
0,1452,957,543,22.47572
0,1453,957,543,23.98454
0,1454,957,543,25.49948
0,1455,957,543,27.01937
0,1456,957,543,28.5434
0,1457,957,543,30.07111
0,1458,957,543,31.60181
0,1459,957,543,33.13519
0,1460,957,543,34.67072
0,1461,957,543,36.20831
0,1462,957,543,37.7477
0,1463,957,543,39.2885
0,1464,957,543,40.83085
0,1465,957,543,42.37423
0,1466,957,543,43.91871
0,1467,957,543,45.46434
0,1468,957,543,47.01067
0,1469,957,543,48.55779
0,1470,957,543,50.10582
0,1471,957,543,51.65432
0,1472,957,543,53.20355
0,1473,957,543,54.75327
0,1474,957,543,56.30354
0,1475,957,543,57.85416
0,1476,959,542,57.3717
0,1477,960,541,57.90226
0,1478,963,541,56.46678
0,1479,965,540,56.01863
0,1480,967,540,55.57918
0,1481,970,540,54.14408
0,1482,973,540,52.70924
0,1483,975,540,52.27009
0,1484,978,540,50.83572
0,1485,979,540,51.39188
0,1486,981,540,50.95283
0,1487,983,539,50.52371
0,1488,987,539,48.09576
0,1489,991,538,45.70181
0,1490,994,538,44.27113
0,1491,996,537,43.89027
0,1492,998,537,43.45306
0,1493,1001,537,42.02538
0,1494,1004,537,40.59865
0,1495,1008,536,38.27596
0,1496,1013,535,35.01678
0,1497,1017,535,32.62975
0,1498,1020,535,31.22428
0,1499,1023,535,29.82247
0,1500,1025,534,29.58059
0,1501,1027,534,29.1552
0,1502,1029,534,28.73052
0,1503,1032,533,27.58311
0,1504,1034,533,27.16418
0,1505,1036,533,26.7462
0,1506,1039,532,25.67959
0,1507,1042,532,24.34496
0,1508,1045,531,23.38946
0,1509,1047,531,22.99415
0,1510,1049,531,22.60055
0,1511,1051,530,22.63245
0,1512,1055,530,20.54547
0,1513,1061,530,16.99211
0,1514,1068,530,13.38246
0,1515,1076,529,12.11753
0,1516,1082,529,12.58748
0,1517,1086,528,14.3048
0,1518,1088,528,14.49438
0,1519,1088,528,13.87567
0,1520,1088,528,13.4104
0,1521,1088,528,13.11506
0,1522,1088,528,13.00117
0,1523,1088,528,13.07349
0,1524,1088,528,13.32899
0,1525,1088,528,13.75746
0,1526,1088,528,14.3434
0,1527,1088,528,15.06847
0,1528,1089,529,14.59066
0,1529,1090,530,14.18945
0,1530,1093,531,12.61878
0,1531,1099,531,10.68414
0,1532,1110,531,12.22202
0,1533,1122,531,19.8979
0,1534,1128,531,23.80959
0,1535,1130,531,24.20802
0,1536,1130,531,22.80683
0,1537,1130,531,21.42753
0,1538,1130,531,20.0743
0,1539,1130,531,18.75314
0,1540,1130,531,17.47131
0,1541,1130,531,16.2378
0,1542,1130,531,15.06483
0,1543,1130,531,13.96752
0,1544,1130,531,12.96513
0,1545,1130,531,12.08127
0,1546,1130,531,11.34371
0,1547,1130,531,10.7825
0,1548,1130,531,10.42614
0,1549,1130,531,10.29599
0,1550,1130,531,10.40047
0,1551,1130,531,10.7328
0,1552,1130,532,10.49164
0,1553,1131,532,10.74792
0,1554,1132,532,11.02665
0,1555,1133,532,11.32598
0,1556,1135,533,10.38962
0,1557,1138,533,9.65548
0,1558,1139,533,9.921715
0,1559,1140,533,10.21174
0,1560,1141,533,10.52341
0,1561,1143,533,10.27562
0,1562,1145,533,10.04112
0,1563,1147,533,9.820845
0,1564,1149,533,9.615775
0,1565,1151,533,9.426904
0,1566,1155,533,8.717853
0,1567,1160,533,8.837825
0,1568,1164,533,9.693348
0,1569,1165,533,9.448797
0,1570,1165,533,8.917564
0,1571,1165,533,8.638639
0,1572,1166,533,8.605465
0,1573,1166,533,8.703986
0,1574,1168,532,9.475436
0,1575,1170,532,9.444427
0,1576,1172,532,9.433982
0,1577,1174,532,9.444148
0,1578,1177,532,9.619362
0,1579,1181,532,10.37623
0,1580,1188,532,13.5753
0,1581,1192,531,15.96591
0,1582,1193,531,15.54287
0,1583,1194,531,15.12875
0,1584,1194,531,14.02674
0,1585,1194,531,13.01843
0,1586,1194,531,12.12723
0,1587,1194,531,11.38068
0,1588,1194,531,10.80879
0,1589,1194,531,10.44031
0,1590,1194,531,10.29709
0,1591,1194,531,10.38845
0,1592,1195,531,10.47766
0,1593,1197,531,10.4048
0,1594,1199,531,10.35028
0,1595,1200,531,10.42247
0,1596,1201,532,9.682539
0,1597,1202,532,9.823485
0,1598,1202,532,10.36675
0,1599,1203,532,10.61055
0,1600,1203,532,11.40859
0,1601,1204,532,11.73194
0,1602,1205,533,11.4344
0,1603,1206,533,11.81005
0,1604,1207,534,11.65485
0,1605,1209,534,11.33117
0,1606,1212,535,9.78826
0,1607,1214,536,9.001908
0,1608,1215,536,9.403021
0,1609,1216,536,9.819644
0,1610,1216,536,11.04844
0,1611,1216,537,12.06509
0,1612,1217,537,12.55723
0,1613,1218,537,13.05486
0,1614,1219,538,13.37137
0,1615,1221,538,12.96889
