trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement,contrast_threshold_multiplier
3,horizontal_left,(-1 0),1.0,contrast,(-1 0),0,(-1 0),2,(0.5 0.5),(0.5 0.5),1.08
18,horizontal_left,(-1 0),15.0,contrast,(-1 0),0,(-1 0),2,(0.53 0.5),(0.5 0.5),1.04
1,horizontal_left,(-1 0),1.0,contrast,(-1 0),0,(-1 0),2,(0.5 0.5),(0.5 0.5),1.02
11,horizontal_left,(-1 0),8.0,contrast,(-1 0),0,(-1 0),2,(0.52 0.5),(0.5 0.5),1.08
23,horizontal_right,(1 0),15.0,contrast,(1 0),0,(-1 0),2,(0.47 0.5),(0.5 0.5),1.08
3,horizontal_left,(-1 0),1.0,contrast,(-1 0),0,(-1 0),2,(0.5 0.5),(0.5 0.5),1.08
9,horizontal_left,(-1 0),8.0,contrast,(-1 0),0,(-1 0),2,(0.52 0.5),(0.5 0.5),1.02
15,horizontal_right,(1 0),8.0,contrast,(1 0),0,(-1 0),2,(0.48 0.5),(0.5 0.5),1.08
13,horizontal_right,(1 0),8.0,contrast,(1 0),0,(-1 0),2,(0.48 0.5),(0.5 0.5),1.02
21,horizontal_right,(1 0),15.0,contrast,(1 0),0,(-1 0),2,(0.47 0.5),(0.5 0.5),1.02
20,horizontal_right,(1 0),15.0,contrast,(1 0),0,(-1 0),2,(0.47 0.5),(0.5 0.5),1.01
13,horizontal_right,(1 0),8.0,contrast,(1 0),0,(-1 0),2,(0.48 0.5),(0.5 0.5),1.02
7,horizontal_right,(1 0),1.0,contrast,(1 0),0,(-1 0),2,(0.5 0.5),(0.5 0.5),1.08
23,horizontal_right,(1 0),15.0,contrast,(1 0),0,(-1 0),2,(0.47 0.5),(0.5 0.5),1.08
17,horizontal_left,(-1 0),15.0,contrast,(-1 0),0,(-1 0),2,(0.53 0.5),(0.5 0.5),1.02
4,horizontal_right,(1 0),1.0,contrast,(1 0),0,(-1 0),2,(0.5 0.5),(0.5 0.5),1.01
19,horizontal_left,(-1 0),15.0,contrast,(-1 0),0,(-1 0),2,(0.53 0.5),(0.5 0.5),1.08
3,horizontal_left,(-1 0),1.0,contrast,(-1 0),0,(-1 0),2,(0.5 0.5),(0.5 0.5),1.08
10,horizontal_left,(-1 0),8.0,contrast,(-1 0),0,(-1 0),2,(0.52 0.5),(0.5 0.5),1.04
20,horizontal_right,(1 0),15.0,contrast,(1 0),0,(-1 0),2,(0.47 0.5),(0.5 0.5),1.01
16,horizontal_left,(-1 0),15.0,contrast,(-1 0),0,(-1 0),2,(0.53 0.5),(0.5 0.5),1.01
19,horizontal_left,(-1 0),15.0,contrast,(-1 0),0,(-1 0),2,(0.53 0.5),(0.5 0.5),1.08
