trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
12,vertical_up,(0 1),15.0,with_half,(0 1),7.5,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
53,vertical_up,(0 1),60.0,zero,(0 1),0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
22,horizontal_left,(-1 0),30.0,with_half,(-1 0),15.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
2,horizontal_left,(-1 0),15.0,with_half,(-1 0),7.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
2,horizontal_left,(-1 0),15.0,with_half,(-1 0),7.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
33,vertical_up,(0 1),30.0,zero,(0 1),0,(-1 0),1,(0.5 0.5),(0.5 0.5)
5,horizontal_right,(1 0),15.0,with_faster,(1 0),22.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
25,horizontal_right,(1 0),30.0,with_faster,(1 0),45.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
55,vertical_down,(0 -1),60.0,with_faster,(0 -1),90.0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
56,vertical_down,(0 -1),60.0,with_same,(0 -1),60.0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
38,vertical_down,(0 -1),30.0,zero,(0 -1),0,(-1 0),1,(0.5 0.5),(0.5 0.5)
36,vertical_down,(0 -1),30.0,with_same,(0 -1),30.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
54,vertical_up,(0 1),60.0,against_half,(0 1),-30.0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
58,vertical_down,(0 -1),60.0,zero,(0 -1),0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
50,vertical_up,(0 1),60.0,with_faster,(0 1),90.0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
53,vertical_up,(0 1),60.0,zero,(0 1),0,(-1 0),0.5,(0.5 0.5),(0.5 0.5)
33,vertical_up,(0 1),30.0,zero,(0 1),0,(-1 0),1,(0.5 0.5),(0.5 0.5)
27,horizontal_right,(1 0),30.0,with_half,(1 0),15.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
40,horizontal_left,(-1 0),60.0,with_faster,(-1 0),90.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
