trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
139,right_to_left,(1 0),60.0,diagonal_right_up,(1 1),30.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
168,right_to_left,(1 0),30.0,diagonal_left_up,(-1 1),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
177,left_to_right,(-1 0),60.0,diagonal_left_down,(-1 -1),60.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
0,left_to_right,(-1 0),15.0,diagonal_left_up,(-1 1),0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
66,left_to_right,(-1 0),30.0,diagonal_right_down,(1 -1),15.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
72,right_to_left,(1 0),30.0,diagonal_left_up,(-1 1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
134,left_to_right,(-1 0),60.0,vertical_up,(0 1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
181,left_to_right,(-1 0),60.0,horizontal_against,(1 0),60.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
22,left_to_right,(-1 0),30.0,vertical_up,(0 1),0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
86,left_to_right,(-1 0),60.0,vertical_up,(0 1),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
46,right_to_left,(1 0),60.0,vertical_up,(0 1),0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
185,right_to_left,(1 0),60.0,diagonal_left_down,(-1 -1),60.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
84,left_to_right,(-1 0),60.0,horizontal_with,(-1 0),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
49,left_to_right,(-1 0),15.0,diagonal_left_down,(-1 -1),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
