trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
0,horizontal_left,(-1 0),15.0,with_faster,(-1 0),22.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
1,horizontal_left,(-1 0),15.0,with_same,(-1 0),15.0,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
2,horizontal_left,(-1 0),15.0,with_half,(-1 0),7.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
3,horizontal_left,(-1 0),15.0,zero,(-1 0),0,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
4,horizontal_left,(-1 0),15.0,against_half,(-1 0),-7.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
5,horizontal_right,(1 0),15.0,with_faster,(1 0),22.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
6,horizontal_right,(1 0),15.0,with_same,(1 0),15.0,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
7,horizontal_right,(1 0),15.0,with_half,(1 0),7.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
8,horizontal_right,(1 0),15.0,zero,(1 0),0,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
9,horizontal_right,(1 0),15.0,against_half,(1 0),-7.5,(-1 0),2.5,(0.5 0.5),(0.5 0.5)
10,horizontal_left,(-1 0),30.0,with_faster,(-1 0),45.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
11,horizontal_left,(-1 0),30.0,with_same,(-1 0),30.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
12,horizontal_left,(-1 0),30.0,with_half,(-1 0),15.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
13,horizontal_left,(-1 0),30.0,zero,(-1 0),0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
14,horizontal_left,(-1 0),30.0,against_half,(-1 0),-15.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
15,horizontal_right,(1 0),30.0,with_faster,(1 0),45.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
16,horizontal_right,(1 0),30.0,with_same,(1 0),30.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
17,horizontal_right,(1 0),30.0,with_half,(1 0),15.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
18,horizontal_right,(1 0),30.0,zero,(1 0),0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
19,horizontal_right,(1 0),30.0,against_half,(1 0),-15.0,(-1 0),1.5,(0.5 0.5),(0.5 0.5)
20,horizontal_left,(-1 0),60.0,with_faster,(-1 0),90.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
21,horizontal_left,(-1 0),60.0,with_same,(-1 0),60.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
22,horizontal_left,(-1 0),60.0,with_half,(-1 0),30.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
23,horizontal_left,(-1 0),60.0,zero,(-1 0),0,(-1 0),1,(0.5 0.5),(0.5 0.5)
24,horizontal_left,(-1 0),60.0,against_half,(-1 0),-30.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
25,horizontal_right,(1 0),60.0,with_faster,(1 0),90.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
26,horizontal_right,(1 0),60.0,with_same,(1 0),60.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
27,horizontal_right,(1 0),60.0,with_half,(1 0),30.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
28,horizontal_right,(1 0),60.0,zero,(1 0),0,(-1 0),1,(0.5 0.5),(0.5 0.5)
29,horizontal_right,(1 0),60.0,against_half,(1 0),-30.0,(-1 0),1,(0.5 0.5),(0.5 0.5)
