trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
0,left_to_right,(-1 0),15.0,diagonal_left_down,(-1 -1),21.213203435596427,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
1,left_to_right,(-1 0),15.0,diagonal_left_down,(-1 -1),113.13708498984761,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
2,left_to_right,(-1 0),15.0,diagonal_right_down,(1 -1),21.213203435596427,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
3,left_to_right,(-1 0),15.0,diagonal_right_down,(1 -1),113.13708498984761,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
4,left_to_right,(-1 0),15.0,horizontal_left,(-1 0),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
5,left_to_right,(-1 0),15.0,horizontal_left,(-1 0),80.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
6,left_to_right,(-1 0),15.0,horizontal_right,(1 0),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
7,left_to_right,(-1 0),15.0,horizontal_right,(1 0),80.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
8,left_to_right,(-1 0),15.0,vertical_down,(0 -1),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
9,left_to_right,(-1 0),15.0,vertical_down,(0 -1),80.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
10,left_to_right,(-1 0),80.0,diagonal_left_down,(-1 -1),21.213203435596427,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
11,left_to_right,(-1 0),80.0,diagonal_left_down,(-1 -1),113.13708498984761,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
12,left_to_right,(-1 0),80.0,diagonal_right_down,(1 -1),21.213203435596427,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
13,left_to_right,(-1 0),80.0,diagonal_right_down,(1 -1),113.13708498984761,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
14,left_to_right,(-1 0),80.0,horizontal_left,(-1 0),15.0,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
15,left_to_right,(-1 0),80.0,horizontal_left,(-1 0),80.0,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
16,left_to_right,(-1 0),80.0,horizontal_right,(1 0),15.0,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
17,left_to_right,(-1 0),80.0,horizontal_right,(1 0),80.0,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
18,left_to_right,(-1 0),80.0,vertical_down,(0 -1),15.0,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
19,left_to_right,(-1 0),80.0,vertical_down,(0 -1),80.0,(-1 0),1.5,(0.97 0.5),(0.77 0.5)
