trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
0,left_to_right,"(-1, 0)",15.0,diagonal_with,"(-1, 1)",15.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
1,left_to_right,"(-1, 0)",15.0,diagonal_against,"(1, -1)",15.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
2,left_to_right,"(-1, 0)",15.0,horizontal_with,"(-1, 0)",15.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
3,left_to_right,"(-1, 0)",15.0,horizontal_against,"(1, 0)",15.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
4,left_to_right,"(-1, 0)",15.0,vertical_up,"(0, 1)",15.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
5,left_to_right,"(-1, 0)",15.0,vertical_down,"(0, -1)",15.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
6,right_to_left,"(1, 0)",15.0,diagonal_with,"(-1, 1)",15.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
7,right_to_left,"(1, 0)",15.0,diagonal_against,"(1, -1)",15.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
8,right_to_left,"(1, 0)",15.0,horizontal_with,"(-1, 0)",15.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
9,right_to_left,"(1, 0)",15.0,horizontal_against,"(1, 0)",15.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
10,right_to_left,"(1, 0)",15.0,vertical_up,"(0, 1)",15.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
11,right_to_left,"(1, 0)",15.0,vertical_down,"(0, -1)",15.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
12,left_to_right,"(-1, 0)",30.0,diagonal_with,"(-1, 1)",15.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
13,left_to_right,"(-1, 0)",30.0,diagonal_against,"(1, -1)",15.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
14,left_to_right,"(-1, 0)",30.0,horizontal_with,"(-1, 0)",15.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
15,left_to_right,"(-1, 0)",30.0,horizontal_against,"(1, 0)",15.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
16,left_to_right,"(-1, 0)",30.0,vertical_up,"(0, 1)",15.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
17,left_to_right,"(-1, 0)",30.0,vertical_down,"(0, -1)",15.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
