trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
0,right_to_left,(1 0),20.0,diagonal_left_up_y1,(-1 0.5773502691896257),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
1,right_to_left,(1 0),20.0,diagonal_left_up_y1,(-1 0.5773502691896257),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
2,right_to_left,(1 0),20.0,diagonal_left_down_y1,(-1 -0.5773502691896257),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
3,right_to_left,(1 0),20.0,diagonal_left_down_y1,(-1 -0.5773502691896257),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
4,right_to_left,(1 0),20.0,diagonal_right_down_y1,(1 -0.5773502691896257),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
5,right_to_left,(1 0),20.0,diagonal_right_down_y1,(1 -0.5773502691896257),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
6,right_to_left,(1 0),20.0,diagonal_right_up_y1,(1 0.5773502691896257),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
7,right_to_left,(1 0),20.0,diagonal_right_up_y1,(1 0.5773502691896257),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
8,right_to_left,(1 0),20.0,diagonal_left_up_y2,(-1 1.7320508075688767),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
9,right_to_left,(1 0),20.0,diagonal_left_up_y2,(-1 1.7320508075688767),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
10,right_to_left,(1 0),20.0,diagonal_left_down_y2,(-1 -1.7320508075688767),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
11,right_to_left,(1 0),20.0,diagonal_left_down_y2,(-1 -1.7320508075688767),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
12,right_to_left,(1 0),20.0,diagonal_right_down_y2,(1 -1.7320508075688767),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
13,right_to_left,(1 0),20.0,diagonal_right_down_y2,(1 -1.7320508075688767),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
14,right_to_left,(1 0),20.0,diagonal_right_up_y2,(1 1.7320508075688767),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
15,right_to_left,(1 0),20.0,diagonal_right_up_y2,(1 1.7320508075688767),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
16,right_to_left,(1 0),20.0,horizontal_left,(-1 0),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
17,right_to_left,(1 0),20.0,horizontal_left,(-1 0),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
18,right_to_left,(1 0),20.0,horizontal_right,(1 0),20.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
19,right_to_left,(1 0),20.0,horizontal_right,(1 0),80.0,(-1 0),4.0,(0.18 0.5),(0.23 0.5)
20,right_to_left,(1 0),80.0,diagonal_left_up_y1,(-1 0.5773502691896257),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
21,right_to_left,(1 0),80.0,diagonal_left_up_y1,(-1 0.5773502691896257),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
22,right_to_left,(1 0),80.0,diagonal_left_down_y1,(-1 -0.5773502691896257),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
23,right_to_left,(1 0),80.0,diagonal_left_down_y1,(-1 -0.5773502691896257),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
24,right_to_left,(1 0),80.0,diagonal_right_down_y1,(1 -0.5773502691896257),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
25,right_to_left,(1 0),80.0,diagonal_right_down_y1,(1 -0.5773502691896257),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
26,right_to_left,(1 0),80.0,diagonal_right_up_y1,(1 0.5773502691896257),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
27,right_to_left,(1 0),80.0,diagonal_right_up_y1,(1 0.5773502691896257),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
28,right_to_left,(1 0),80.0,diagonal_left_up_y2,(-1 1.7320508075688767),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
29,right_to_left,(1 0),80.0,diagonal_left_up_y2,(-1 1.7320508075688767),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
30,right_to_left,(1 0),80.0,diagonal_left_down_y2,(-1 -1.7320508075688767),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
31,right_to_left,(1 0),80.0,diagonal_left_down_y2,(-1 -1.7320508075688767),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
32,right_to_left,(1 0),80.0,diagonal_right_down_y2,(1 -1.7320508075688767),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
33,right_to_left,(1 0),80.0,diagonal_right_down_y2,(1 -1.7320508075688767),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
34,right_to_left,(1 0),80.0,diagonal_right_up_y2,(1 1.7320508075688767),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
35,right_to_left,(1 0),80.0,diagonal_right_up_y2,(1 1.7320508075688767),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
36,right_to_left,(1 0),80.0,horizontal_left,(-1 0),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
37,right_to_left,(1 0),80.0,horizontal_left,(-1 0),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
38,right_to_left,(1 0),80.0,horizontal_right,(1 0),20.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
39,right_to_left,(1 0),80.0,horizontal_right,(1 0),80.0,(-1 0),1.5,(0.03 0.5),(0.23 0.5)
